"","",""
"Abies","fir","TN(Carter, Sevier)"
"Carex aggregata","glomerate sedge","TN(Blount, Cheatham, Clay, Davidson, Grundy, Hickman, Knox, Loudon, Marshall, Montgomery, Rutherford, Sumner)"
"Carex alata","broadwing sedge","TN(Grundy, Hamilton, Montgomery, Robertson, White)"
"Carex albicans","whitetinge sedge","TN(Anderson, Bedford, Blount, Cannon, Cheatham, Claiborne, Coffee, Cumberland, Davidson, DeKalb, Dickson, Dyer, Franklin, Giles, Grainger, Greene, Hamilton, Hardin, Hickman, Houston, Humphreys, Knox, Lawrence, Lewis, Marion, Marshall, Maury, Monroe, Montgomery, Morgan, Obion, Overton, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Union, Van Buren, Warren, Williamson, Wilson)"
"Carex albicans var. albicans","whitetinge sedge","TN(Anderson, Bedford, Blount, Cannon, Cheatham, Claiborne, Davidson, DeKalb, Dickson, Dyer, Franklin, Giles, Grainger, Greene, Hamilton, Hardin, Hickman, Houston, Humphreys, Knox, Lawrence, Lewis, Marion, Marshall, Maury, Monroe, Montgomery, Obion, Polk, Putnam, Roane, Robertson, Rutherford, Scott, Shelby, Stewart, Sumner, Union, Van Buren, Williamson, Wilson)"
"Carex albicans var. australis","stellate sedge","TN(Blount, Davidson, Polk, Rhea, Rutherford)"
"Carex albicans var. emmonsii","Emmons' sedge","TN(Blount, Cheatham, Coffee, Cumberland, Davidson, Franklin, Hickman, Knox, Marion, Montgomery, Morgan, Obion, Overton, Polk, Rutherford, Sevier, Van Buren, Warren, Williamson)"
"Carex albolutescens","greenwhite sedge","TN(Bledsoe, Blount, Bradley, Campbell, Carroll, Coffee, Cumberland, Dickson, Franklin, Grundy, Hardeman, Hardin, Henderson, Hickman, Macon, Marion, Montgomery, Morgan, Polk, Putnam, Robertson, Rutherford, Sequatchie, Sevier, Sumner, Unicoi)"
"Carex albursina","white bear sedge","TN(Anderson, Blount, Cannon, Carter, Clay, Coffee, Davidson, DeKalb, Franklin, Grundy, Hancock, Hickman, Jackson, Johnson, Knox, Lewis, Macon, Marion, Montgomery, Morgan, Obion, Perry, Putnam, Robertson, Rutherford, Scott, Sevier, Smith, Stewart, Sumner, Trousdale, Van Buren, Warren, Washington, Williamson)"
"Carex alopecoidea","foxtail sedge","TN(Knox)"
"Carex amphibola","eastern narrowleaf sedge","TN(Anderson, Bedford, Blount, Campbell, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Fentress, Franklin, Gibson, Giles, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Henry, Hickman, Houston, Humphreys, Jackson, Knox, Lake, Lauderdale, Lawrence, Lewis, Loudon, Macon, Madison, Marion, Marshall, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Perry, Polk, Putnam, Roane, Rutherford, Scott, Sevier, Shelby, Stewart, Sullivan, Sumner, Union, Van Buren, Wayne, Weakley, Williamson, Wilson)"
"Carex annectens","yellowfruit sedge","TN(Anderson, Blount, Cheatham, Coffee, Cumberland, Franklin, Hamilton, Hardeman, Haywood, Henry, Houston, Humphreys, Knox, Lauderdale, Lawrence, Montgomery, Obion, Perry, Rhea, Roane, Robertson, Rutherford, Shelby, Stewart, Sumner, Wayne, Williamson)"
"Carex appalachica","Appalachian sedge","TN(Blount, Cocke, Johnson, Monroe)"
"Carex argyrantha","hay sedge","TN(Unicoi)"
"Carex atlantica","prickly bog sedge","TN(Blount, Carroll, Carter, Chester, Cocke, Cumberland, Davidson, Fentress, Franklin, Greene, Grundy, Hardeman, Hardin, Hickman, Johnson, Knox, Lewis, Maury, McMinn, Monroe, Montgomery, Polk, Putnam, Roane, Scott, Sevier, Van Buren, White)"
"Carex atlantica ssp. atlantica","prickly bog sedge","TN(Blount, Carroll, Carter, Chester, Cocke, Cumberland, Davidson, Fentress, Franklin, Greene, Grundy, Hardeman, Hardin, Johnson, Knox, Lewis, McMinn, Monroe, Montgomery, Polk, Putnam, Roane, Scott, Sevier, Van Buren, White)"
"Carex atlantica ssp. capillacea","prickly bog sedge","TN(Chester, Hardeman, Hardin, Hickman, Lewis, Maury, Putnam, White)"
"Carex austrina","southern sedge","TN(Clay, Loudon)"
"Carex austrocaroliniana","tarheel sedge","TN(Blount, Cannon, Claiborne, Cumberland, DeKalb, Franklin, Grundy, Marion, Monroe, Morgan, Polk, Putnam, Rhea, Roane, Scott, Sevier, Van Buren)"
"Carex baileyi","Bailey's sedge","TN(Cannon, Carter, Cocke, Coffee, Cumberland, Davidson, Dickson, Fentress, Grundy, Hardin, Humphreys, Johnson, Lincoln, Monroe, Polk, Putnam, Roane, Sullivan)"
"Carex barrattii","Barratt's sedge","TN(Coffee)"
"Carex basiantha","Willdenow's sedge","TN(Franklin, Grundy, Maury, Shelby, Tipton, Warren, Weakley)"
"Carex blanda","eastern woodland sedge","TN(Anderson, Benton, Blount, Campbell, Carter, Cheatham, Claiborne, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Greene, Grundy, Hamblen, Hamilton, Hardin, Haywood, Hickman, Houston, Humphreys, Jackson, Knox, Lake, Lauderdale, Lawrence, Lewis, McMinn, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Perry, Polk, Putnam, Rhea, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Van Buren, Warren, Wayne, Weakley, White, Williamson, Wilson)"
"Carex brevior","shortbeak sedge","TN(Haywood, Humphreys, Knox, Loudon, Montgomery, Morgan, Rutherford, Shelby, Warren, Wilson)"
"Carex bromoides","brome-like sedge","TN(Blount, Hardin, Haywood, Humphreys, Johnson, Lewis, Marion, Monroe, Sevier, Sullivan)"
"Carex bromoides ssp. bromoides","brome-like sedge","TN(Blount, Hardin, Haywood, Humphreys, Johnson, Lewis, Marion, Monroe, Sevier, Sullivan)"
"Carex brunnescens","brownish sedge","TN(Blount, Carter, Cocke, Greene, Johnson, Sevier)"
"Carex brunnescens ssp. sphaerostachya","brownish sedge","TN(Blount, Carter, Cocke, Greene, Johnson, Sevier)"
"Carex bullata","button sedge","TN(Coffee, Franklin, Johnson, Lincoln)"
"Carex bushii","Bush's sedge","TN(Anderson, Bledsoe, Carroll, Cheatham, Clay, Dickson, Haywood, Hickman, Humphreys, Knox, Monroe, Moore, Robertson, Rutherford)"
"Carex buxbaumii","Buxbaum's sedge","TN(Coffee, Cumberland, Robertson)"
"Carex careyana","Carey's sedge","TN(Cheatham, Davidson, DeKalb, Fentress, Franklin, Grundy, Macon, Marion, Overton, Perry, Putnam, Robertson, Rutherford, Stewart, Sumner, Van Buren, Warren, White)"
"Carex caroliniana","Carolina sedge","TN(Anderson, Bledsoe, Blount, Bradley, Cheatham, Cocke, Coffee, Cumberland, Dickson, Franklin, Gibson, Grainger, Hardeman, Hardin, Haywood, Henry, Lauderdale, Marion, McNairy, Montgomery, Obion, Overton, Rhea, Roane, Rutherford, Scott, Sevier, Shelby, Stewart, Sullivan, Sumner, Wayne, Weakley, White, Wilson)"
"Carex cephalophora","oval-leaf sedge","TN(Anderson, Blount, Campbell, Cheatham, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fentress, Franklin, Hamilton, Hardin, Haywood, Hickman, Jackson, Johnson, Knox, Loudon, Marion, Marshall, Maury, McNairy, Monroe, Montgomery, Morgan, Overton, Polk, Putnam, Rhea, Roane, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Sullivan, Sumner, Tipton, Union, Van Buren)"
"Carex chapmanii","Chapman's sedge","TN(Putnam)"
"Carex cherokeensis","Cherokee sedge","TN(Bedford, Blount, Bradley, Davidson, Decatur, Franklin, Hamilton, Lauderdale, Meigs, Polk, Rhea, Rutherford, Sevier, Shelby, Warren, Wilson)"
"Carex communis","fibrousroot sedge","TN(Anderson, Blount, Carter, Cheatham, Claiborne, Cocke, Cumberland, Davidson, DeKalb, Dickson, Fentress, Franklin, Grainger, Greene, Grundy, Johnson, Knox, Monroe, Morgan, Overton, Polk, Putnam, Rhea, Scott, Sevier, Smith, Sullivan, Unicoi, Union, Van Buren, White)"
"Carex communis var. communis","fibrousroot sedge","TN(Anderson, Blount, Carter, Cheatham, Claiborne, Cocke, Cumberland, Davidson, DeKalb, Dickson, Fentress, Franklin, Grainger, Greene, Grundy, Johnson, Knox, Monroe, Morgan, Overton, Polk, Putnam, Rhea, Scott, Sevier, Smith, Sullivan, Unicoi, Union, Van Buren, White)"
"Carex comosa","longhair sedge","TN(Lewis, Loudon, Meigs, Montgomery, Obion, Stewart)"
"Carex complanata","hirsute sedge","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Cheatham, Chester, Claiborne, Coffee, Cumberland, Davidson, Decatur, Dickson, Fayette, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Haywood, Hickman, Houston, Humphreys, Jackson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Marion, Marshall, Maury, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Overton, Pickett, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Union, Van Buren, Wayne, Weakley, Williamson, Wilson)"
"Carex conjuncta","soft fox sedge","TN(Blount, Campbell, Clay, Dickson, Hamblen, Hamilton, Houston, Knox, Marion, Marshall, Montgomery, Rutherford, Williamson)"
"Carex corrugata","prune-fruit sedge","TN(Bedford, Benton, Carroll, Hardin, Humphreys, Lake, Marion, Montgomery, Obion, Roane, Rutherford, Shelby, Weakley)"
"Carex crawei","Crawe's sedge","TN(Davidson, Rutherford, Wilson)"
"Carex crebriflora","coastal plain sedge","TN(Clay, Dickson, Henry, Humphreys, Jackson, Johnson, Lauderdale, Obion, Shelby)"
"Carex crinita","fringed sedge","TN(Anderson, Bledsoe, Blount, Bradley, Campbell, Carroll, Carter, Chester, Cocke, Coffee, Cumberland, Dickson, Fayette, Fentress, Franklin, Grainger, Grundy, Hardeman, Hardin, Haywood, Henry, Hickman, Johnson, Knox, Lawrence, Lewis, McMinn, McNairy, Meigs, Monroe, Montgomery, Morgan, Perry, Polk, Putnam, Rhea, Roane, Scott, Sequatchie, Sevier, Shelby, Stewart, Unicoi, Union, Van Buren, Washington, Wayne, White)"
"Carex cristatella","crested sedge","TN(Cheatham, Lewis, Robertson)"
"Carex crus-corvi","ravenfoot sedge","TN(Davidson, Dyer, Gibson, Hardin, Haywood, Houston, Knox, Lake, Lauderdale, Montgomery, Obion, Perry, Robertson, Rutherford, Shelby, Stewart)"
"Carex davisii","Davis' sedge","TN(Cheatham, Davidson, Marshall)"
"Carex debilis","white edge sedge","TN(Anderson, Benton, Bledsoe, Blount, Cannon, Carroll, Carter, Chester, Cocke, Coffee, Cumberland, Dickson, Fayette, Fentress, Franklin, Giles, Greene, Grundy, Hardeman, Hardin, Haywood, Henderson, Henry, Hickman, Johnson, Lake, Lawrence, Lewis, Macon, Marion, Maury, McNairy, Meigs, Monroe, Moore, Morgan, Obion, Overton, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Sequatchie, Sevier, Stewart, Sumner, Unicoi, Union, Van Buren, Warren, Wayne, White)"
"Carex decomposita","cypressknee sedge","TN(Fayette, Grundy, Lake, Montgomery, Obion, Robertson, Stewart, Warren)"
"Carex digitalis","slender woodland sedge","TN(Anderson, Bedford, Bledsoe, Blount, Bradley, Campbell, Cannon, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fentress, Franklin, Grundy, Hamilton, Hardin, Henry, Hickman, Houston, Humphreys, Johnson, Knox, Lauderdale, Lawrence, Lewis, Macon, Marion, Maury, McMinn, Monroe, Montgomery, Moore, Morgan, Overton, Polk, Putnam, Rhea, Roane, Scott, Sequatchie, Sevier, Stewart, Sumner, Union, Van Buren, Warren, Wayne, White, Williamson)"
"Carex eburnea","bristleleaf sedge","TN(Anderson, Campbell, Cheatham, Claiborne, Clay, Grainger, Johnson, Knox, Marion, Overton, Pickett, Putnam, Roane, Van Buren)"
"Carex echinata","star sedge","TN(Carter, Grundy, Johnson)"
"Carex echinata ssp. echinata","star sedge","TN(Carter, Grundy, Johnson)"
"Carex festucacea","fescue sedge","TN(Benton, Campbell, Cheatham, Coffee, Cumberland, Davidson, Dickson, Franklin, Hamilton, Hardeman, Haywood, Henry, Hickman, Houston, Humphreys, Lawrence, Lewis, Loudon, Marion, Marshall, Monroe, Montgomery, Roane, Stewart, Van Buren, Wayne, Wilson)"
"Carex flaccosperma","thinfruit sedge","TN(Bedford, Benton, Bradley, Carroll, Dyer, Gibson, Hardeman, Hardin, Haywood, Henderson, Henry, Knox, Lauderdale, Lewis, Lincoln, Loudon, Marion, Marshall, McNairy, Monroe, Rhea, Robertson, Rutherford, Shelby, Stewart)"
"Carex folliculata","northern long sedge","TN(Bledsoe, Carter, Johnson, Lincoln)"
"Carex frankii","Frank's sedge","TN(Anderson, Bedford, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Cheatham, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fayette, Giles, Grainger, Grundy, Hamblen, Hardeman, Hardin, Haywood, Henry, Hickman, Houston, Johnson, Knox, Lake, Lauderdale, Lawrence, Marion, Marshall, Maury, Meigs, Monroe, Montgomery, Obion, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton, Union, Warren, White, Williamson, Wilson)"
"Carex gigantea","giant sedge","TN(Bledsoe, Coffee, Cumberland, Franklin, Giles, Grundy, Hamilton, Henderson, Marion, McMinn, Overton, Robertson, Van Buren, White)"
"Carex glaucescens","southern waxy sedge","TN(Bledsoe, Coffee, Dickson, Franklin, Grundy, Van Buren)"
"Carex glaucodea","blue sedge","TN(Anderson, Benton, Carter, Cumberland, DeKalb, Dickson, Fentress, Franklin, Grundy, Hardeman, Henry, Knox, Lincoln, Loudon, Marion, McNairy, Monroe, Montgomery, Morgan, Overton, Robertson, Sumner, Wilson)"
"Carex gracilescens","slender looseflower sedge","TN(Claiborne, Coffee, Fayette, Franklin, Knox, Lake, Lauderdale, Macon, Maury, Putnam, Roane, Rutherford, Scott, Stewart)"
"Carex gracillima","graceful sedge","TN(Campbell, Carter, Cheatham, Fentress, Hawkins, Johnson, Marion, Overton, Scott, Sevier, Sullivan, Wayne)"
"Carex granularis","limestone meadow sedge","TN(Anderson, Bedford, Blount, Bradley, Campbell, Cannon, Carroll, Cheatham, Claiborne, Clay, Coffee, Davidson, DeKalb, Dickson, Franklin, Grainger, Grundy, Hardin, Hawkins, Houston, Humphreys, Jackson, Knox, Lawrence, Lewis, Loudon, Marshall, Maury, McMinn, Meigs, Montgomery, Morgan, Obion, Overton, Putnam, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Warren, White, Williamson, Wilson)"
"Carex gravida","heavy sedge","TN(Campbell, Carroll, Hardeman, Lauderdale, Loudon, Macon, Marshall)"
"Carex gravida var. gravida","heavy sedge","TN(Campbell, Carroll, Hardeman, Lauderdale, Loudon, Macon, Marshall)"
"Carex grayi","Gray's sedge","TN(Anderson, Benton, Cheatham, Clay, Davidson, Fayette, Gibson, Hamilton, Hardin, Haywood, Henry, Jackson, Lake, Marion, Montgomery, Obion, Perry, Roane, Rutherford, Shelby, Stewart, Sumner, Tipton)"
"Carex grisea","inflated narrow-leaf sedge","TN(Benton, Bradley, Clay, Davidson, Dickson, Hamilton, Houston, Humphreys, Jackson, Jefferson, Knox, Marshall, Montgomery, Polk, Rutherford, Scott, Trousdale, Williamson, Wilson)"
"Carex hirtifolia","pubescent sedge","TN(Coffee, Davidson, Fentress, Hickman, Humphreys)"
"Carex hitchcockiana","Hitchcock's sedge","TN(Carter, Grundy, Jackson, Sumner)"
"Carex hyalinolepis","shoreline sedge","TN(Haywood, Shelby)"
"Carex hystericina","bottlebrush sedge","TN(Cheatham, Cumberland, Davidson, Johnson, Lewis, Polk, Wayne)"
"Carex intumescens","greater bladder sedge","TN(Benton, Bledsoe, Blount, Cannon, Carter, Chester, Cocke, Coffee, Cumberland, Dickson, Dyer, Fayette, Fentress, Franklin, Giles, Grainger, Greene, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Hickman, Humphreys, Johnson, Lake, Lauderdale, Lewis, Lincoln, Macon, Marion, McMinn, McNairy, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Perry, Polk, Putnam, Rhea, Roane, Scott, Sequatchie, Sevier, Stewart, Tipton, Van Buren, Warren, Wayne, White)"
"Carex jamesii","James' sedge","TN(Blount, Cannon, Cheatham, Claiborne, Clay, Cocke, Coffee, Davidson, Dyer, Fentress, Franklin, Grundy, Henry, Hickman, Houston, Humphreys, Jackson, Lake, Lawrence, Lewis, Lincoln, Macon, Marshall, Montgomery, Obion, Perry, Pickett, Polk, Putnam, Robertson, Rutherford, Shelby, Smith, Stewart, Sumner, Tipton, Trousdale, Van Buren, Wayne, Williamson, Wilson)"
"Carex joorii","cypress swamp sedge","TN(Bledsoe, Carroll, Coffee, Cumberland, Fentress, Franklin, Grundy, Hamilton, Hardin, McMinn, Overton, Putnam, Sequatchie, Sullivan, Van Buren, White)"
"Carex kraliana","Kral's sedge","TN(Dyer, Grundy, Henderson, Jefferson, Perry, Scott)"
"Carex lacustris","hairy sedge","TN(Hardin, Montgomery)"
"Carex laevivaginata","smoothsheath sedge","TN(Blount, Campbell, Carroll, Chester, Cocke, Cumberland, Giles, Greene, Hardeman, Hardin, Henderson, Henry, Houston, Humphreys, Jefferson, Johnson, Lake, Lawrence, Lewis, Polk, Roane, Sevier, Sullivan, Wayne, White)"
"Carex laxiculmis","spreading sedge","TN(Anderson, Blount, Cannon, Claiborne, Cocke, Coffee, Cumberland, Davidson, DeKalb, Dickson, Henderson, Hickman, Johnson, Lewis, Macon, Marion, Montgomery, Moore, Morgan, Polk, Putnam, Roane, Scott, Sequatchie, Sullivan, Sumner, Unicoi, Union, Wayne)"
"Carex laxiculmis var. laxiculmis","spreading sedge","TN(Anderson, Blount, Cannon, Claiborne, Cocke, Coffee, Cumberland, Davidson, DeKalb, Dickson, Henderson, Hickman, Johnson, Lewis, Macon, Marion, Montgomery, Moore, Morgan, Polk, Putnam, Roane, Scott, Sequatchie, Sullivan, Sumner, Unicoi, Union, Wayne)"
"Carex laxiflora","broad looseflower sedge","TN(Anderson, Benton, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Clay, Cocke, Cumberland, Davidson, DeKalb, Dickson, Fentress, Franklin, Grundy, Hamilton, Hardin, Henry, Houston, Johnson, Knox, Lawrence, Lewis, Loudon, Macon, Marion, Maury, Monroe, Montgomery, Morgan, Perry, Pickett, Polk, Putnam, Rhea, Roane, Scott, Sevier, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Wayne)"
"Carex leavenworthii","Leavenworth's sedge","TN(Anderson, Bedford, Clay, Cumberland, Davidson, DeKalb, Decatur, Dyer, Fayette, Franklin, Gibson, Hamilton, Hardeman, Hardin, Haywood, Hickman, Houston, Humphreys, Lake, Marshall, Meigs, Montgomery, Obion, Overton, Putnam, Rhea, Rutherford, Sevier, Shelby, Smith, Stewart, Sumner, Trousdale, Van Buren, Wayne, Weakley)"
"Carex leptalea","bristlystalked sedge","TN(Anderson, Campbell, Carroll, Carter, Cheatham, Chester, Claiborne, Dickson, Hardeman, Hardin, Henderson, Henry, Jefferson, Johnson, Lewis, Lincoln, McNairy, Overton, Wayne)"
"Carex leptonervia","nerveless woodland sedge","TN(Blount, Carter, Cocke, Fentress, Johnson, Sevier, Unicoi)"
"Carex louisianica","Louisiana sedge","TN(Bledsoe, Blount, Carroll, Cheatham, Coffee, Davidson, Dickson, Dyer, Franklin, Gibson, Hamilton, Hardin, Haywood, Johnson, Lake, Lauderdale, Marion, Montgomery, Moore, Overton, Perry, Robertson, Rutherford, Stewart, Tipton, Warren, Wayne, Weakley, White)"
"Carex lucorum","Blue Ridge sedge","TN(Campbell, Carter, Grundy, Marion, Monroe, Morgan, Overton, Polk, Scott, Sevier)"
"Carex lucorum var. austrolucorum","Blue Ridge sedge","TN(Campbell, Carter, Grundy, Marion, Monroe, Morgan, Overton, Polk, Scott, Sevier)"
"Carex lupuliformis","false hop sedge","TN(Coffee, Cumberland, Franklin, Haywood, Lake, Loudon, Montgomery, Robertson, Rutherford, White)"
"Carex lupulina","hop sedge","TN(Benton, Bledsoe, Blount, Cannon, Carroll, Cheatham, Chester, Coffee, Crockett, Cumberland, Davidson, Dickson, Fayette, Fentress, Gibson, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Henry, Houston, Jefferson, Johnson, Knox, Lake, Loudon, Marion, McNairy, Montgomery, Roane, Robertson, Scott, Sevier, Shelby, Stewart, Sumner, Unicoi, Warren, Weakley, White)"
"Carex lurida","shallow sedge","TN(Anderson, Bedford, Bledsoe, Blount, Bradley, Cannon, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fayette, Fentress, Franklin, Giles, Grainger, Greene, Grundy, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Johnson, Knox, Lake, Lawrence, Lewis, Macon, Marion, McMinn, McNairy, Monroe, Montgomery, Morgan, Perry, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sevier, Shelby, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson)"
"Carex meadii","Mead's sedge","TN(Bledsoe, Coffee, Cumberland, Decatur, Franklin, Knox, Rutherford, Shelby, Wilson)"
"Carex mesochorea","midland sedge","TN(Cumberland, Davidson, Loudon, Madison, Montgomery)"
"Carex misera","wretched sedge","TN(Blount, Sevier)"
"Carex muehlenbergii","Muhlenberg's sedge","TN(Anderson, Bradley, Carroll, Cheatham, Chester, Claiborne, Cocke, Cumberland, Davidson, Decatur, Dickson, Dyer, Fayette, Fentress, Hamilton, Hawkins, Humphreys, Knox, Lewis, Marion, Montgomery, Morgan, Polk, Rutherford, Stewart, Sumner, White)"
