"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Carex lurida","shallow sedge","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Carex meadii","Mead's sedge","WV(Randolph)"
"Carex mesochorea","midland sedge","WV(Fayette, Kanawha, Wayne)"
"Carex molesta","troublesome sedge","WV(Grant, Hardy, Mineral, Pendleton, Raleigh, Summers)"
"Carex muehlenbergii","Muhlenberg's sedge","WV(Fayette, Hampshire, Hardy, Lewis, Ohio)"
"Carex muehlenbergii var. muehlenbergii","Muhlenberg's sedge","WV(Fayette, Hampshire, Hardy, Lewis, Ohio)"
"Carex nigromarginata","black edge sedge","WV(Greenbrier, Jefferson, Kanawha, Pleasants, Ritchie, Wirt)"
"Carex normalis","greater straw sedge","WV(Fayette, Greenbrier, Pendleton, Randolph, Summers)"
"Carex oligocarpa","richwoods sedge","WV(Fayette, Grant, Greenbrier, Hampshire, Hancock, Mercer, Mineral, Raleigh, Randolph, Summers, Upshur)"
"Carex oligosperma","fewseed sedge","WV(Hardy)"
"Carex oligosperma var. oligosperma","fewseed sedge","WV(Hardy)"
"Carex pauciflora","fewflower sedge","WV(Grant, Tucker)"
"Carex pedunculata","longstalk sedge","WV(Greenbrier, Pendleton, Summers, Wyoming)"
"Carex pellita","woolly sedge","WV(Greenbrier, Hampshire, Hancock, Hardy, Jefferson, Pocahontas, Tucker)"
"Carex pensylvanica","Pennsylvania sedge","WV(Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Kanawha, Logan, Monongalia, Ohio, Pendleton, Pleasants, Putnam, Raleigh, Randolph, Summers, Upshur, Wirt, Wyoming)"
"Carex plantaginea","plantainleaf sedge","WV(Braxton, Cabell, Fayette, Kanawha, Logan, Mercer, Monongalia, Nicholas, Pocahontas, Randolph, Tucker, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Carex platyphylla","broadleaf sedge","WV(Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Lewis, Marshall, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Randolph, Summers, Taylor, Tyler, Wayne, Wetzel, Wood, Wyoming)"
"Carex polymorpha","variable sedge","WV(Pendleton)"
"Carex prairea","prairie sedge","WV(Jefferson)"
"Carex prasina","drooping sedge","WV(Boone, Fayette, Hardy, Kanawha, Monongalia, Pocahontas, Preston, Raleigh, Upshur, Wetzel)"
"Carex projecta","necklace sedge","WV(Mineral, Tucker)"
"Carex radiata","eastern star sedge","WV(Fayette, Grant, Greenbrier, Harrison, Lewis, McDowell, Mercer, Mineral, Monongalia, Pendleton, Pocahontas, Raleigh, Randolph, Tucker, Webster, Wyoming)"
"Carex retroflexa","reflexed sedge","WV(Boone, Hampshire, Kanawha, Lewis, Pocahontas, Raleigh, Randolph, Wirt)"
"Carex rosea","rosy sedge","WV(Barbour, Cabell, Fayette, Greenbrier, Kanawha, McDowell, Mineral, Monongalia, Monroe, Ohio, Pocahontas, Raleigh, Wayne, Wirt)"
"Carex scabrata","eastern rough sedge","WV(Fayette, Grant, Greenbrier, Hardy, Kanawha, Pocahontas, Preston, Randolph, Tucker, Webster, Wyoming)"
"Carex scoparia","broom sedge","WV(Barbour, Berkeley, Braxton, Cabell, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marshall, Mercer, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Tucker, Tyler, Upshur, Webster, Wetzel, Wirt)"
"Carex scoparia var. scoparia","broom sedge","WV(Barbour, Berkeley, Braxton, Cabell, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marshall, Mercer, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Tucker, Tyler, Upshur, Webster, Wetzel, Wirt)"
"Carex seorsa","weak stellate sedge","WV(Putnam)"
"Carex shortiana","Short's sedge","WV(Barbour, Grant, Hampshire, Hardy, Monongalia, Ohio, Wirt, Wood)"
"Carex siccata","dryspike sedge","WV(Grant, Hardy, Mercer, Monongalia, Nicholas, Pendleton, Pocahontas, Raleigh, Tucker)"
"Carex sparganioides","bur-reed sedge","WV(Fayette, Hampshire, Hancock, Kanawha, Lewis, Marshall, Mineral, Monongalia, Ohio, Pocahontas, Preston, Raleigh, Tyler, Wyoming)"
"Carex squarrosa","squarrose sedge","WV(Barbour, Berkeley, Fayette, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Lewis, Mercer, Mineral, Monongalia, Morgan, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Summers, Tucker, Upshur, Wayne, Wetzel, Wirt)"
"Carex stipata","awlfruit sedge","WV(Barbour, Berkeley, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Lewis, McDowell, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Randolph, Summers, Tucker, Upshur, Wirt)"
"Carex stricta","upright sedge","WV(Barbour, Fayette, Greenbrier, Hardy, Jefferson, Monongalia, Monroe, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur)"
"Carex styloflexa","bent sedge","WV(Raleigh)"
"Carex swanii","Swan's sedge","WV(Barbour, Fayette, Grant, Kanawha, Lincoln, McDowell, Monongalia, Morgan, Nicholas, Pocahontas, Raleigh, Randolph, Tucker, Tyler, Upshur)"
"Carex tenera","quill sedge","WV(Morgan, Preston, Randolph, Webster)"
"Carex tetanica","rigid sedge","WV(Jefferson)"
"Carex texensis","Texas sedge","WV(Cabell, Harrison, Wayne)"
"Carex tonsa","shaved sedge","WV(Grant, Hardy, Jefferson, Mineral, Monroe, Morgan, Preston)"
"Carex tonsa var. rugosperma","parachute sedge","WV(Grant, Mineral, Monroe, Morgan, Preston)"
"Carex tonsa var. tonsa","shaved sedge","WV(Grant, Hardy, Jefferson, Mineral, Morgan)"
"Carex torta","twisted sedge","WV(Braxton, Fayette, Grant, Greenbrier, Hancock, Hardy, Kanawha, Lewis, Marion, Mercer, Monongalia, Nicholas, Raleigh, Randolph, Taylor, Tucker, Upshur, Wirt, Wyoming)"
"Carex tribuloides","blunt broom sedge","WV(Boone, Braxton, Brooke, Fayette, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, McDowell, Mercer, Mineral, Monongalia, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Carex trichocarpa","hairyfruit sedge","WV(Greenbrier, Pocahontas, Randolph)"
"Carex trisperma","threeseeded sedge","WV(Boone, Fayette, Mineral, Nicholas, Pocahontas, Preston, Randolph, Tucker)"
"Carex trisperma var. trisperma","threeseeded sedge","WV(Boone, Fayette, Mineral, Nicholas, Pocahontas, Preston, Randolph, Tucker)"
"Carex tuckermanii","Tuckerman's sedge","WV(Tucker, Wayne)"
"Carex typhina","cattail sedge","WV(Cabell, Fayette, Mason, Putnam, Tyler, Wetzel)"
"Carex umbellata","parasol sedge","WV(Barbour, Brooke, Doddridge, Gilmer, Hardy, Jackson, Lewis, Logan, Marshall, Mingo, Morgan, Pleasants, Preston, Putnam, Randolph, Roane, Tyler, Wayne, Wirt, Wood)"
"Carex virescens","ribbed sedge","WV(Braxton, Fayette, Hampshire, Hancock, Hardy, Harrison, Lewis, McDowell, Mineral, Nicholas, Pendleton, Raleigh, Tucker, Wayne, Wetzel, Wyoming)"
"Carex vulpinoidea","fox sedge","WV(Barbour, Braxton, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Carex vulpinoidea var. vulpinoidea","fox sedge","WV(Barbour, Braxton, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Carex willdenowii","Willdenow's sedge","WV(Boone, Braxton, Calhoun, Doddridge, Greenbrier, Hardy, Lincoln, Mercer, Mineral, Monroe, Morgan, Pendleton, Pocahontas, Putnam, Wayne, Wirt)"
"Carex woodii","pretty sedge","WV(Fayette, Greenbrier, Mercer, Ritchie, Summers)"
"Carpinus","hornbeam","WV(Berkeley, Brooke, Hardy, Harrison, Kanawha, McDowell, Mercer, Mineral, Pleasants, Pocahontas, Upshur, Wood, Wyoming)"
"Carpinus caroliniana","American hornbeam","WV(Berkeley, Brooke, Hardy, Harrison, Kanawha, McDowell, Mercer, Mineral, Pleasants, Pocahontas, Upshur, Wood, Wyoming)"
"Carpinus caroliniana ssp. virginiana","American hornbeam","WV(Berkeley, Brooke, Hardy, Harrison, Kanawha, McDowell, Mercer, Mineral, Pleasants, Pocahontas, Upshur, Wood, Wyoming)"
"Carum","carum","WV(Hardy)"
"Carum carvi","caraway","WV(Hardy)"
"Carya","hybrid hickory","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Carya cordiformis","bitternut hickory","WV(Barbour, Brooke, Cabell, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Putnam, Roane, Summers, Tyler, Upshur, Wayne, Webster, Wirt)"
"Carya glabra","pignut hickory","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Lincoln, Marion, Marshall, Mineral, Monongalia, Monroe, Ohio, Pleasants, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Carya laciniosa","shellbark hickory","WV(Cabell, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Jefferson, Lincoln, Mineral, Monongalia, Roane, Summers, Taylor, Tyler, Wayne, Wetzel, Wirt)"
"Carya ovalis","red hickory","WV(Cabell, Hampshire, Hancock, Hardy, Jackson, Marion, Monongalia, Preston, Raleigh, Taylor, Upshur)"
"Carya ovata","shagbark hickory","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Doddridge, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Carya tomentosa","mockernut hickory","WV(Berkeley, Braxton, Brooke, Cabell, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Kanawha, Lewis, Marion, Monongalia, Monroe, Morgan, Pleasants, Pocahontas, Preston, Raleigh, Ritchie, Roane, Summers, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Castanea","chestnut","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Castanea dentata","American chestnut","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Marion, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt)"
"Castanea pumila","chinquapin","WV(Barbour, Berkeley, Fayette, Greenbrier, Hampshire, Marion, McDowell, Mercer, Mingo, Monongalia, Monroe, Pendleton, Pocahontas, Raleigh, Summers, Upshur, Wyoming)"
"Castanea pumila var. pumila","chinquapin","WV(Barbour, Berkeley, Fayette, Greenbrier, Hampshire, Marion, McDowell, Mercer, Mingo, Monongalia, Monroe, Pendleton, Pocahontas, Raleigh, Summers, Upshur, Wyoming)"
"Castilleja","Indian paintbrush","WV(Barbour, Greenbrier, Hampshire, Hardy, Mercer, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Webster)"
"Castilleja coccinea","scarlet Indian paintbrush","WV(Barbour, Greenbrier, Hampshire, Hardy, Mercer, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Webster)"
"Catalpa","catalpa","WV(Barbour, Berkeley, Boone, Braxton, Clay, Fayette, Gilmer, Greenbrier, Hancock, Hardy, Harrison, Jackson, Kanawha, Marion, Mercer, Monongalia, Pendleton, Pocahontas, Raleigh, Ritchie, Summers, Taylor, Wayne, Wetzel, Wirt, Wood)"
"Catalpa bignonioides","southern catalpa","WV(Boone, Braxton, Gilmer, Greenbrier, Hancock, Hardy, Jackson, Mercer, Monongalia, Raleigh, Summers, Taylor, Wetzel, Wirt, Wood)"
"Catalpa ovata","Chinese catalpa","WV(Barbour, Greenbrier, Pendleton)"
"Catalpa speciosa","northern catalpa","WV(Berkeley, Clay, Fayette, Hancock, Harrison, Kanawha, Marion, Monongalia, Pocahontas, Ritchie, Taylor, Wayne)"
"Caulophyllum","cohosh","WV(Barbour, Boone, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, McDowell, Mercer, Mingo, Monongalia, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Caulophyllum thalictroides","blue cohosh","WV(Barbour, Boone, Braxton, Brooke, Calhoun, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, McDowell, Mercer, Mingo, Monongalia, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Ceanothus","ceanothus","WV(Barbour, Berkeley, Braxton, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Kanawha, Lewis, Marion, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Ceanothus americanus","New Jersey tea","WV(Barbour, Berkeley, Braxton, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Jackson, Kanawha, Lewis, Marion, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Ceanothus herbaceus","Jersey tea","WV(Grant)"
"Celastrus","bittersweet","WV(Berkeley, Braxton, Brooke, Cabell, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Lewis, Marion, Marshall, Mason, McDowell, Mineral, Monongalia, Monroe, Morgan, Ohio, Preston, Raleigh, Roane, Summers, Tyler, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Celastrus orbiculatus","Oriental bittersweet","WV(Greenbrier, Hampshire, Kanawha, Mason, Morgan, Wayne, Wirt)"
"Celastrus scandens","American bittersweet","WV(Berkeley, Braxton, Brooke, Cabell, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Lewis, Marion, Marshall, Mason, McDowell, Mineral, Monongalia, Monroe, Ohio, Preston, Raleigh, Roane, Summers, Tyler, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Celosia","cock's comb","WV(Hampshire, Hancock, Monongalia, Wetzel)"
"Celosia argentea","silver cock's comb","WV(Hampshire, Hancock, Monongalia, Wetzel)"
"Celtis","hackberry","WV(Berkeley, Boone, Braxton, Brooke, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Marion, Marshall, Mason, McDowell, Mineral, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pleasants, Putnam, Raleigh, Summers, Taylor, Tyler, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Celtis laevigata","sugarberry","WV(Fayette)"
"Celtis laevigata var. laevigata","sugarberry","WV(Fayette)"
"Celtis occidentalis","common hackberry","WV(Berkeley, Boone, Braxton, Brooke, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Marion, Marshall, Mason, McDowell, Mineral, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pleasants, Putnam, Raleigh, Summers, Taylor, Tyler, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Celtis pumila","dwarf hackberry","WV(Berkeley, Fayette, Grant, Hampshire, Hardy, Jefferson, Mineral, Monroe, Summers, Wirt)"
"Cenchrus","sandbur","WV(Fayette, Grant, Hampshire, Jackson, Kanawha, Marion, Mineral, Morgan, Randolph, Wood)"
"Cenchrus longispinus","mat sandbur","WV(Fayette, Grant, Hampshire, Jackson, Kanawha, Marion, Mineral, Morgan, Randolph, Wood)"
"Centaurea","knapweed","WV(Barbour, Berkeley, Brooke, Fayette, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Marion, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Wetzel, Wirt, Wyoming)"
"Centaurea cyanus","garden cornflower","WV(Berkeley, Hampshire, Harrison, Jefferson, Kanawha, McDowell, Mercer, Monongalia, Morgan, Wetzel)"
"Centaurea jacea","brownray knapweed","WV(Greenbrier, Hampshire, Hardy, Monongalia, Monroe, Pocahontas, Raleigh, Randolph, Ritchie, Tucker)"
"Centaurea nigra","lesser knapweed","WV(Hampshire, Harrison, Mineral, Pocahontas, Raleigh, Randolph, Tucker)"
"Centaurea nigrescens","Tyrol knapweed","WV(Morgan, Preston, Randolph, Taylor, Wetzel, Wirt)"
"Centaurea solstitialis","yellow star-thistle","WV(Marion)"
"Centaurea stoebe","spotted knapweed","WV(Barbour, Berkeley, Brooke, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jefferson, Kanawha, McDowell, Mercer, Mineral, Monroe, Morgan, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Wyoming)"
"Centaurea stoebe ssp. micranthos","spotted knapweed","WV(Barbour, Berkeley, Brooke, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jefferson, Kanawha, McDowell, Mercer, Mineral, Monroe, Morgan, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Wyoming)"
"Cephalanthus","buttonbush","WV(Barbour, Berkeley, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jackson, Jefferson, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Upshur, Wayne, Wirt, Wyoming)"
"Cephalanthus occidentalis","common buttonbush","WV(Barbour, Berkeley, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jackson, Jefferson, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Upshur, Wayne, Wirt, Wyoming)"
"Cerastium","mouse-ear chickweed","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, Mason, Mercer, Mineral, Mingo, Monongalia, Morgan, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Cerastium arvense","field chickweed","WV(Berkeley, Hampshire, Jefferson, Monongalia, Morgan)"
"Cerastium brachypetalum","gray chickweed","WV(Doddridge)"
"Cerastium fontanum","common mouse-ear chickweed","WV(Barbour, Boone, Brooke, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Mercer, Mineral, Mingo, Monongalia, Morgan, Ohio, Pleasants, Pocahontas, Raleigh, Randolph, Ritchie, Roane, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Cerastium fontanum ssp. vulgare","big chickweed","WV(Barbour, Boone, Brooke, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Mercer, Mineral, Mingo, Monongalia, Morgan, Ohio, Pleasants, Pocahontas, Raleigh, Randolph, Ritchie, Roane, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood)"
"Cerastium glomeratum","sticky chickweed","WV(Calhoun, Fayette, Hardy, Jackson, Kanawha, Lincoln, Mason, Monongalia, Preston, Raleigh, Summers, Taylor, Upshur, Wirt)"
"Cerastium nutans","nodding chickweed","WV(Braxton, Brooke, Calhoun, Doddridge, Fayette, Gilmer, Grant, Hancock, Hardy, Jefferson, Kanawha, Mingo, Monongalia, Ohio, Pendleton, Putnam, Raleigh, Ritchie, Summers, Upshur, Wayne, Wetzel)"
"Cerastium nutans var. nutans","nodding chickweed","WV(Braxton, Brooke, Calhoun, Doddridge, Fayette, Gilmer, Grant, Hancock, Hardy, Jefferson, Kanawha, Mingo, Monongalia, Ohio, Pendleton, Putnam, Raleigh, Ritchie, Summers, Upshur, Wayne, Wetzel)"
"Cerastium semidecandrum","fivestamen chickweed","WV(Morgan)"
"Ceratophyllum","hornwort","WV(Grant, Hampshire, Hardy, Jackson, Mason, Monongalia, Summers, Tucker)"
"Ceratophyllum demersum","coon's tail","WV(Grant, Hampshire, Hardy, Jackson, Monongalia, Summers, Tucker)"
"Ceratophyllum echinatum","spineless hornwort","WV(Mason)"
