"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Cheilanthes tomentosa","woolly lipfern","OK(Caddo, Comanche, Greer, Jackson, Kiowa, Osage)"
"Cheilanthes wootonii","beaded lipfern","OK(Cimarron, Greer, Kiowa)"
"Chenopodium","goosefoot","OK(Alfalfa, Beaver, Blaine, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Custer, Delaware, Garfield, Grady, Greer, Harmon, Hughes, Jackson, Kay, Kingfisher, Latimer, Logan, Major, Marshall, Mayes, McClain, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Roger Mills, Texas, Tillman, Tulsa, Wagoner, Woods, Woodward)"
"Chenopodium album","lambsquarters","OK(Blaine, Bryan, Caddo, Cimarron, Cleveland, Custer, Delaware, Grady, Greer, Harmon, Jackson, Kay, Kingfisher, Latimer, McClain, Murray, Muskogee, Nowata, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Texas, Wagoner)"
"Chenopodium album var. missouriense","Missouri lambsquarters","OK(Cimarron, Delaware, Ottawa)"
"Chenopodium berlandieri","pitseed goosefoot","OK(Cimarron, Texas)"
"Chenopodium incanum","mealy goosefoot","OK(Beaver, Cimarron, Custer, Roger Mills, Texas)"
"Chenopodium incanum var. incanum","mealy goosefoot","OK(Beaver, Cimarron, Custer, Roger Mills, Texas)"
"Chenopodium pratericola","desert goosefoot","OK(Alfalfa, Beaver, Blaine, Bryan, Canadian, Comanche, Custer, Garfield, Grady, Hughes, Kingfisher, Major, Marshall, Mayes, McClain, Muskogee, Oklahoma, Payne, Pottawatomie, Roger Mills, Tillman, Wagoner, Woods)"
"Chenopodium simplex","mapleleaf goosefoot","OK(Alfalfa, Bryan, Canadian, Cleveland, Comanche, Custer, Logan, Marshall, McClain, Muskogee, Oklahoma, Payne, Tulsa, Woodward)"
"Chenopodium standleyanum","Standley's goosefoot","OK(Cleveland, Delaware, Mayes, Murray, Oklahoma, Woodward)"
"Chloracantha","chloracantha","OK(Cleveland, Jackson, Payne)"
"Chloracantha spinosa","spiny chloracantha","OK(Cleveland, Jackson, Payne)"
"Chloris","windmill grass","OK(Alfalfa, Beaver, Blaine, Bryan, Caddo, Carter, Cherokee, Cimarron, Cleveland, Comanche, Cotton, Custer, Grady, Grant, Greer, Harmon, Harper, Jackson, Jefferson, Johnston, Kingfisher, Kiowa, Lincoln, Marshall, Mayes, McClain, Murray, Muskogee, Nowata, Oklahoma, Payne, Rogers, Sequoyah, Texas, Tulsa, Woods, Woodward)"
"Chloris cucullata","hooded windmill grass","OK(Cotton, Greer, Harmon, Jackson, Jefferson, Payne)"
"Chloris verticillata","tumble windmill grass","OK(Alfalfa, Beaver, Blaine, Bryan, Caddo, Carter, Cherokee, Cimarron, Cleveland, Cotton, Custer, Grady, Grant, Harper, Jackson, Johnston, Kingfisher, Kiowa, Lincoln, Marshall, Mayes, McClain, Murray, Muskogee, Nowata, Oklahoma, Payne, Rogers, Sequoyah, Texas, Tulsa, Woods)"
"Chloris virgata","feather fingergrass","OK(Beaver, Cimarron, Comanche, Harper, Payne, Texas, Woods, Woodward)"
"Chorispora","chorispora","OK(Oklahoma)"
"Chorispora tenella","crossflower","OK(Oklahoma)"
"Chrysopsis","goldenaster","OK(Adair, Atoka, Bryan, Cherokee, Cleveland, Coal, Creek, Delaware, Grady, Haskell, Hughes, Johnston, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Okfuskee, Oklahoma, Okmulgee, Osage, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Washington)"
"Chrysopsis pilosa","soft goldenaster","OK(Adair, Atoka, Bryan, Cherokee, Cleveland, Coal, Creek, Delaware, Grady, Haskell, Hughes, Johnston, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Okfuskee, Oklahoma, Okmulgee, Osage, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Seminole, Sequoyah, Washington)"
"Chrysothamnus","rabbitbrush","OK(Texas)"
"Chrysothamnus baileyi","Bailey's rabbitbrush","OK(Texas)"
"Cichorium","chicory","OK(Delaware, Grady, Murray)"
"Cichorium intybus","chicory","OK(Delaware, Grady, Murray)"
"Cicuta","water hemlock","OK(Alfalfa, Bryan, Cherokee, Cleveland, Comanche, Delaware, Grady, Haskell, Johnston, Lincoln, Logan, Murray, Muskogee, Oklahoma, Ottawa, Sequoyah, Tulsa, Woods, Woodward)"
"Cicuta maculata","spotted water hemlock","OK(Alfalfa, Bryan, Cherokee, Cleveland, Comanche, Delaware, Grady, Haskell, Johnston, Lincoln, Logan, Murray, Muskogee, Oklahoma, Ottawa, Sequoyah, Tulsa, Woods, Woodward)"
"Cinna","woodreed","OK(Bryan, Caddo, Canadian, Cleveland, McCurtain, Muskogee, Tulsa, Woodward)"
"Cinna arundinacea","sweet woodreed","OK(Bryan, Caddo, Canadian, Cleveland, McCurtain, Muskogee, Tulsa, Woodward)"
"Circaea","enchanter's nightshade","OK(Caddo, Ottawa)"
"Circaea lutetiana","broadleaf enchanter's nightshade","OK(Caddo, Ottawa)"
"Circaea lutetiana ssp. canadensis","broadleaf enchanter's nightshade","OK(Caddo, Ottawa)"
"Cirsium","thistle","OK(Adair, Alfalfa, Beaver, Beckham, Bryan, Caddo, Canadian, Carter, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Grady, Greer, Harmon, Jackson, Jefferson, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Ottawa, Payne, Pontotoc, Pottawatomie, Roger Mills, Rogers, Texas, Tillman, Tulsa, Washita, Woods, Woodward)"
"Cirsium altissimum","tall thistle","OK(Adair, Alfalfa, Cleveland, Creek, Delaware, Kay, Latimer, Le Flore, McCurtain, McIntosh, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Ottawa, Payne, Pontotoc, Pottawatomie, Tulsa)"
"Cirsium ochrocentrum","yellowspine thistle","OK(Beaver, Beckham, Caddo, Cimarron, Custer, Grady, Greer, Jefferson, Kiowa, Texas)"
"Cirsium ochrocentrum ssp. ochrocentrum","yellowspine thistle","OK(Beaver, Beckham, Caddo, Cimarron, Custer, Grady, Greer, Jefferson, Kiowa, Texas)"
"Cirsium texanum","Texas thistle","OK(Harmon, Jackson)"
"Cirsium undulatum","wavyleaf thistle","OK(Beaver, Beckham, Bryan, Canadian, Carter, Cimarron, Cleveland, Comanche, Creek, Custer, Grady, Kingfisher, Lincoln, Logan, Love, Marshall, McClain, Murray, Oklahoma, Payne, Pottawatomie, Roger Mills, Rogers, Tillman, Tulsa, Washita, Woods, Woodward)"
"Cirsium undulatum var. undulatum","wavyleaf thistle","OK(Beaver, Beckham, Bryan, Canadian, Carter, Cimarron, Cleveland, Comanche, Creek, Custer, Grady, Kingfisher, Lincoln, Logan, Love, Marshall, McClain, Murray, Oklahoma, Payne, Pottawatomie, Roger Mills, Rogers, Tillman, Tulsa, Washita, Woods, Woodward)"
"Cirsium vulgare","bull thistle","OK(Adair, Caddo, McCurtain)"
"Cissus","treebine","OK(Blaine, Carter, Cherokee, Jackson, Jefferson, Kay, Kingfisher, Kiowa, Latimer, Logan, Major, Marshall, Murray, Muskogee, Osage, Sequoyah, Tulsa)"
"Cissus trifoliata","sorrelvine","OK(Blaine, Carter, Cherokee, Jackson, Jefferson, Kay, Kingfisher, Kiowa, Latimer, Logan, Major, Marshall, Murray, Muskogee, Osage, Sequoyah, Tulsa)"
"Claytonia","springbeauty","OK(Adair, Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Coal, Comanche, Craig, Creek, Delaware, Greer, Haskell, Hughes, Johnston, Le Flore, Lincoln, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa, Washington)"
"Claytonia virginica","Virginia springbeauty","OK(Adair, Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Coal, Comanche, Craig, Creek, Delaware, Greer, Haskell, Hughes, Johnston, Le Flore, Lincoln, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa, Washington)"
"Claytonia virginica var. acutiflora","Virginia springbeauty","OK(Cleveland)"
"Claytonia virginica var. virginica","Virginia springbeauty","OK(Payne, Pontotoc)"
"Claytonia virginica var. virginica f. virginica","Virginia springbeauty","OK(Payne, Pontotoc)"
"Clematis","leather flower","OK(Bryan, Carter, Cleveland, Comanche, Cotton, Garvin, Harmon, Jefferson, Kiowa, Latimer, Le Flore, Logan, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Tulsa, Washington)"
"Clematis drummondii","Drummond's clematis","OK(Harmon)"
"Clematis pitcheri","bluebill","OK(Bryan, Carter, Cleveland, Comanche, Cotton, Garvin, Jefferson, Kiowa, Latimer, Le Flore, Logan, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Tulsa, Washington)"
"Clematis pitcheri var. pitcheri","bluebill","OK(Bryan, Carter, Cleveland, Comanche, Cotton, Garvin, Jefferson, Kiowa, Latimer, Le Flore, Logan, Marshall, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Tulsa, Washington)"
"Clematis terniflora","sweet autumn virginsbower","OK(Ottawa)"
"Cleome","spiderflower","OK(Beaver, Cimarron, Harper, Roger Mills, Woods)"
"Cleome serrulata","Rocky Mountain beeplant","OK(Beaver, Cimarron, Harper, Roger Mills, Woods)"
"Cleomella","stinkweed","OK(Alfalfa, Beaver, Cleveland, Comanche, Cotton, Grant, Greer, Harper, Lincoln, Noble, Oklahoma, Pawnee, Payne)"
"Cleomella angustifolia","narrowleaf rhombopod","OK(Alfalfa, Beaver, Cleveland, Comanche, Cotton, Grant, Greer, Harper, Lincoln, Noble, Oklahoma, Pawnee, Payne)"
"Clitoria","pigeonwings","OK(Cleveland, Comanche, Creek, Payne, Tulsa)"
"Clitoria mariana","Atlantic pigeonwings","OK(Cleveland, Comanche, Creek, Payne, Tulsa)"
"Cnidoscolus","cnidoscolus","OK(Carter, Cleveland, Cotton, Grady, Greer, Haskell, Hughes, Kingfisher, Kiowa, Logan, Love, Marshall, McCurtain, Oklahoma, Payne, Pontotoc, Pushmataha)"
"Cnidoscolus texanus","Texas bullnettle","OK(Carter, Cleveland, Cotton, Grady, Greer, Haskell, Hughes, Kingfisher, Kiowa, Logan, Love, Marshall, McCurtain, Oklahoma, Payne, Pontotoc, Pushmataha)"
"Cocculus","coralbead","OK(Adair, Alfalfa, Bryan, Caddo, Cherokee, Choctaw, Cleveland, Comanche, Creek, Custer, Delaware, Grady, Greer, Haskell, Johnston, Kay, Kingfisher, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Sequoyah, Tulsa, Washita)"
"Cocculus carolinus","Carolina coralbead","OK(Adair, Alfalfa, Bryan, Caddo, Cherokee, Choctaw, Cleveland, Comanche, Creek, Custer, Delaware, Grady, Greer, Haskell, Johnston, Kay, Kingfisher, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Sequoyah, Tulsa, Washita)"
"Coelorachis","jointtail grass","OK(Caddo, Carter, Cleveland, Creek, Grady, Haskell, Johnston, Latimer, Lincoln, Logan, Love, Marshall, McClain, Muskogee, Oklahoma, Osage, Payne, Pottawatomie, Tulsa)"
"Coelorachis cylindrica","cylinder jointtail grass","OK(Caddo, Carter, Cleveland, Creek, Grady, Haskell, Johnston, Latimer, Lincoln, Logan, Love, Marshall, McClain, Muskogee, Oklahoma, Osage, Payne, Pottawatomie, Tulsa)"
"Collinsia","blue eyed Mary","OK(Adair, Bryan, Cherokee, Choctaw, Coal, Comanche, Delaware, Johnston, Latimer, Le Flore, Mayes, McCurtain, Murray, Muskogee, Nowata, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pushmataha, Rogers, Sequoyah, Tulsa)"
"Collinsia violacea","violet blue eyed Mary","OK(Adair, Bryan, Cherokee, Choctaw, Coal, Comanche, Delaware, Johnston, Latimer, Le Flore, Mayes, McCurtain, Murray, Muskogee, Nowata, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pushmataha, Rogers, Sequoyah, Tulsa)"
"Comandra","bastard toadflax","OK(Adair, Blaine, Canadian, Cimarron, Custer, Delaware, Ellis, Greer, Harper, Jackson, Mayes, McClain, Murray, Muskogee, Ottawa, Payne, Roger Mills, Washita)"
"Comandra umbellata","bastard toadflax","OK(Adair, Blaine, Canadian, Cimarron, Custer, Delaware, Ellis, Greer, Harper, Jackson, Mayes, McClain, Murray, Muskogee, Ottawa, Payne, Roger Mills, Washita)"
"Comandra umbellata ssp. pallida","pale bastard toadflax","OK(Blaine, Canadian, Cimarron, Custer, Ellis, Greer, Harper, Jackson, McClain, Murray, Payne, Roger Mills, Washita)"
"Comandra umbellata ssp. umbellata","bastard toadflax","OK(Adair, Delaware, Mayes, Muskogee, Ottawa)"
"Commelina","dayflower","OK(Adair, Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Comanche, Cotton, Creek, Custer, Delaware, Dewey, Garvin, Grady, Grant, Greer, Harper, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Roger Mills, Seminole, Sequoyah, Tulsa, Washita, Woods, Woodward)"
"Commelina communis","Asiatic dayflower","OK(Bryan, Cherokee, Cleveland, Latimer, McCurtain, Muskogee, Oklahoma, Ottawa, Pontotoc, Tulsa)"
"Commelina diffusa","climbing dayflower","OK(Johnston, Muskogee)"
"Commelina diffusa var. diffusa","climbing dayflower","OK(Johnston, Muskogee)"
"Commelina erecta","whitemouth dayflower","OK(Adair, Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Choctaw, Cimarron, Cleveland, Comanche, Cotton, Creek, Custer, Delaware, Dewey, Garvin, Grady, Grant, Greer, Harper, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Logan, Love, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pottawatomie, Roger Mills, Seminole, Sequoyah, Tulsa, Washita, Woods, Woodward)"
"Commelina erecta var. angustifolia","whitemouth dayflower","OK(Adair, Alfalfa, Beaver, Blaine, Caddo, Canadian, Carter, Choctaw, Cimarron, Cleveland, Comanche, Custer, Delaware, Dewey, Grady, Grant, Greer, Harper, Johnston, Kay, Kingfisher, Kiowa, Logan, Love, Marshall, Mayes, McClain, Murray, Oklahoma, Pottawatomie, Roger Mills, Seminole, Sequoyah, Tulsa, Washita, Woods, Woodward)"
"Commelina erecta var. erecta","whitemouth dayflower","OK(Alfalfa, Beckham, Blaine, Bryan, Canadian, Cleveland, Comanche, Cotton, Creek, Custer, Delaware, Garvin, Grady, Greer, Jackson, Jefferson, Johnston, Kingfisher, Kiowa, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pottawatomie, Roger Mills, Tulsa, Woods, Woodward)"
"Commelina virginica","Virginia dayflower","OK(Bryan, Cleveland, Latimer, Le Flore, McCurtain, Muskogee, Ottawa)"
"Conium","poison hemlock","OK(Cleveland, Garfield, Grady, Grant, Kingfisher, Oklahoma, Stephens, Woods)"
"Conium maculatum","poison hemlock","OK(Cleveland, Garfield, Grady, Grant, Kingfisher, Oklahoma, Stephens, Woods)"
"Conoclinium","thoroughwort","OK(Adair, Bryan, Caddo, Cherokee, Choctaw, Cleveland, Coal, Craig, Creek, Delaware, Grady, Haskell, Hughes, Latimer, Logan, Love, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Rogers, Sequoyah, Tulsa)"
"Conoclinium coelestinum","blue mistflower","OK(Adair, Bryan, Caddo, Cherokee, Choctaw, Cleveland, Coal, Craig, Creek, Delaware, Grady, Haskell, Hughes, Latimer, Logan, Love, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Rogers, Sequoyah, Tulsa)"
"Conringia","hare's ear mustard","OK(Cleveland, Oklahoma, Texas, Tulsa)"
"Conringia orientalis","hare's ear mustard","OK(Cleveland, Oklahoma, Texas, Tulsa)"
"Consolida","knight's-spur","OK(Cleveland, Payne, Pottawatomie)"
"Consolida ajacis","doubtful knight's-spur","OK(Cleveland, Payne, Pottawatomie)"
"Convolvulus","bindweed","OK(Alfalfa, Beaver, Bryan, Caddo, Carter, Cimarron, Cleveland, Comanche, Custer, Garfield, Grady, Grant, Greer, Harper, Jackson, Johnston, Kay, Kingfisher, Kiowa, Logan, Marshall, McClain, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Roger Mills, Texas, Tulsa, Washington, Washita, Woods)"
"Convolvulus arvensis","field bindweed","OK(Alfalfa, Beaver, Cimarron, Cleveland, Custer, Garfield, Grady, Grant, Greer, Harper, Johnston, Kay, Kingfisher, Logan, Marshall, McClain, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Roger Mills, Texas, Tulsa, Washington, Woods)"
"Convolvulus equitans","Texas bindweed","OK(Bryan, Caddo, Carter, Cimarron, Comanche, Custer, Greer, Jackson, Johnston, Kiowa, Marshall, Murray, Washita)"
"Conyza","horseweed","OK(Alfalfa, Beaver, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Custer, Grady, Grant, Greer, Harmon, Harper, Haskell, Jackson, Jefferson, Kay, Latimer, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Sequoyah, Texas, Woods)"
"Conyza canadensis","Canadian horseweed","OK(Alfalfa, Beaver, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Custer, Grady, Grant, Greer, Harmon, Harper, Haskell, Jackson, Jefferson, Kay, Latimer, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Sequoyah, Texas, Woods)"
"Conyza ramosissima","dwarf horseweed","OK(Bryan, Cleveland, Comanche, Harmon, Kay, Marshall, Muskogee, Oklahoma, Payne, Pottawatomie, Woods)"
"Cooperia","rainlily","OK(Bryan, Carter, Comanche, Garfield, Johnston, Kay, Latimer, Marshall, McClain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg)"
"Cooperia drummondii","evening rainlily","OK(Bryan, Carter, Comanche, Garfield, Johnston, Kay, Latimer, Marshall, McClain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg)"
"Corallorhiza","coralroot","OK(Adair, Bryan, Caddo, Canadian, Cherokee, Choctaw, Delaware, Latimer, Le Flore, Marshall, Mayes, McCurtain, Muskogee, Ottawa, Payne, Pontotoc, Pushmataha, Rogers, Tulsa)"
"Corallorhiza odontorhiza","autumn coralroot","OK(Adair, Caddo, Cherokee, Le Flore, McCurtain)"
"Corallorhiza odontorhiza var. odontorhiza","autumn coralroot","OK(Caddo, Le Flore)"
"Corallorhiza wisteriana","spring coralroot","OK(Adair, Bryan, Caddo, Canadian, Cherokee, Choctaw, Delaware, Latimer, Le Flore, Marshall, Mayes, McCurtain, Muskogee, Ottawa, Payne, Pontotoc, Pushmataha, Rogers, Tulsa)"
"Coreopsis","tickseed","OK(Adair, Alfalfa, Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Craig, Creek, Delaware, Ellis, Garfield, Grady, Grant, Greer, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Logan, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tillman, Tulsa, Wagoner, Washington, Woods)"
"Coreopsis grandiflora","largeflower tickseed","OK(Adair, Atoka, Bryan, Caddo, Carter, Cleveland, Coal, Comanche, Craig, Creek, Grady, Greer, Hughes, Kiowa, Latimer, Le Flore, Logan, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa, Wagoner, Washington)"
"Coreopsis palmata","stiff tickseed","OK(Adair, Cherokee)"
"Coreopsis tinctoria","golden tickseed","OK(Alfalfa, Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Delaware, Ellis, Garfield, Grant, Haskell, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Payne, Pittsburg, Pottawatomie, Pushmataha, Rogers, Sequoyah, Tillman, Tulsa, Washington, Woods)"
"Coreopsis tinctoria var. tinctoria","golden tickseed","OK(Alfalfa, Atoka, Beckham, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Delaware, Ellis, Garfield, Grant, Haskell, Jackson, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Lincoln, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Payne, Pittsburg, Pottawatomie, Pushmataha, Rogers, Sequoyah, Tillman, Tulsa, Washington, Woods)"
"Coreopsis tripteris","tall tickseed","OK(Adair, Bryan, Delaware, Latimer, Le Flore)"
"Coriandrum","coriander","OK(Oklahoma)"
"Coriandrum sativum","coriander","OK(Oklahoma)"
"Corispermum","bugseed","OK(Alfalfa, Bryan, Canadian, Cleveland, Harper, Woods)"
"Corispermum americanum","American bugseed","OK(Alfalfa, Bryan, Canadian, Cleveland, Harper, Woods)"
"Corispermum americanum var. americanum","American bugseed","OK(Alfalfa, Bryan, Canadian, Cleveland, Harper, Woods)"
"Cornus","dogwood","OK(Adair, Alfalfa, Atoka, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Craig, Creek, Custer, Delaware, Dewey, Garfield, Grady, Greer, Haskell, Hughes, Jefferson, Johnston, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Oklahoma, Okmulgee, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Tulsa, Wagoner, Washington, Washita, Woods)"
"Cornus drummondii","roughleaf dogwood","OK(Adair, Alfalfa, Atoka, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Comanche, Craig, Creek, Custer, Dewey, Garfield, Grady, Greer, Johnston, Latimer, Le Flore, Lincoln, Logan, Love, Major, Marshall, McClain, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Roger Mills, Sequoyah, Stephens, Tulsa, Washington, Washita, Woods)"
"Cornus florida","flowering dogwood","OK(Adair, Atoka, Bryan, Caddo, Carter, Cherokee, Choctaw, Coal, Comanche, Craig, Creek, Delaware, Haskell, Hughes, Jefferson, Johnston, Latimer, Le Flore, Lincoln, Love, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Okmulgee, Ottawa, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa, Wagoner, Washington)"
