"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Dalea candida","white prairie clover","ND(Barnes, Benson, Billings, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Pierce, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Dalea candida var. candida","white prairie clover","ND(Barnes, Benson, Billings, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Golden Valley, Grand Forks, Griggs, Kidder, Logan, McKenzie, Mercer, Mountrail, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sioux, Slope, Steele, Stutsman, Ward, Williams)"
"Dalea candida var. oligophylla","white prairie clover","ND(Barnes, Benson, Billings, Burleigh, Cass, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Kidder, LaMoure, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Renville, Sheridan, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Dalea enneandra","nineanther prairie clover","ND(Grant, Morton, Sioux)"
"Dalea leporina","foxtail prairie clover","ND(Cass, LaMoure, Ransom, Richland, Sargent, Sioux)"
"Dalea purpurea","purple prairie clover","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Ward, Wells, Williams)"
"Dalea purpurea var. purpurea","purple prairie clover","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Ward, Wells, Williams)"
"Dalea villosa","silky prairie clover","ND(Eddy, Emmons, Grant, McHenry, Mercer, Morton, Pierce, Ransom, Richland, Sargent)"
"Dalea villosa var. villosa","silky prairie clover","ND(Eddy, Emmons, Grant, McHenry, Mercer, Morton, Pierce, Ransom, Richland, Sargent)"
"Danthonia","oatgrass","ND(Burke, Divide, Dunn, Williams)"
"Danthonia spicata","poverty oatgrass","ND(Burke, Divide, Dunn, Williams)"
"Dasiphora","shrubby cinquefoil","ND(Billings, Cass, Dunn, Golden Valley, McKenzie, Slope)"
"Dasiphora fruticosa","shrubby cinquefoil","ND(Billings, Cass, Dunn, Golden Valley, McKenzie, Slope)"
"Dasiphora fruticosa ssp. floribunda","shrubby cinquefoil","ND(Billings, Cass, Dunn, Golden Valley, McKenzie, Slope)"
"Datura","jimsonweed","ND(Sargent, Traill)"
"Datura stramonium","jimsonweed","ND(Sargent, Traill)"
"Daucus","wild carrot","ND(Benson, Bottineau, Cass, Grand Forks, Ramsey)"
"Daucus carota","Queen Anne's lace","ND(Benson, Bottineau, Cass, Grand Forks, Ramsey)"
"Delphinium","larkspur","ND(Barnes, Billings, Bowman, Burke, Cass, Dickey, Emmons, Grand Forks, Griggs, McKenzie, Ransom, Richland, Sargent, Steele, Stutsman, Traill, Williams)"
"Delphinium bicolor","little larkspur","ND(Billings, Bowman, Burke, McKenzie, Williams)"
"Delphinium bicolor ssp. bicolor","little larkspur","ND(Billings, Bowman, Burke, McKenzie, Williams)"
"Delphinium carolinianum","Carolina larkspur","ND(Barnes, Cass, Dickey, Emmons, Grand Forks, Griggs, Ransom, Richland, Sargent, Steele, Stutsman, Traill)"
"Delphinium carolinianum ssp. virescens","Carolina larkspur","ND(Barnes, Cass, Dickey, Emmons, Grand Forks, Griggs, Ransom, Richland, Sargent, Steele, Stutsman, Traill)"
"Deschampsia","hairgrass","ND(Benson, Bottineau, Burke, Divide, Eddy, Grand Forks, Griggs, Kidder, McHenry, Mountrail, Nelson, Pierce, Walsh, Williams)"
"Deschampsia cespitosa","tufted hairgrass","ND(Benson, Bottineau, Burke, Divide, Eddy, Grand Forks, Griggs, Kidder, McHenry, Mountrail, Nelson, Pierce, Walsh, Williams)"
"Descurainia","tansymustard","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Descurainia incana","mountain tansymustard","ND(Barnes, Bottineau, Cass, Cavalier, Divide, Grant, Griggs, LaMoure, Morton, Pembina, Pierce, Ransom, Sioux, Stutsman, Walsh, Ward)"
"Descurainia incana ssp. incana","mountain tansymustard","ND(Barnes, Bottineau, Cass, Cavalier, Divide, Grant, Griggs, LaMoure, Morton, Pembina, Pierce, Ransom, Sioux, Stutsman, Walsh, Ward)"
"Descurainia pinnata","western tansymustard","ND(Adams, Barnes, Benson, Billings, Cass, Dickey, Dunn, Grand Forks, Grant, LaMoure, McHenry, McKenzie, Mercer, Morton, Mountrail, Pembina, Ransom, Richland, Sargent, Slope, Stutsman, Ward, Williams)"
"Descurainia pinnata ssp. brachycarpa","western tansymustard","ND(Adams, Barnes, Benson, Billings, Cass, Dickey, Dunn, Grand Forks, Grant, LaMoure, McHenry, McKenzie, Mercer, Morton, Mountrail, Pembina, Ransom, Richland, Sargent, Slope, Stutsman, Ward, Williams)"
"Descurainia sophia","herb sophia","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Ward, Wells, Williams)"
"Desmanthus","bundleflower","ND(Emmons, Ramsey, Sargent)"
"Desmanthus illinoensis","Illinois bundleflower","ND(Emmons, Ramsey, Sargent)"
"Desmodium","ticktrefoil","ND(Barnes, Burleigh, Cass, Dickey, Grand Forks, Morton, Pembina, Ramsey, Ransom, Richland, Sargent)"
"Desmodium canadense","showy ticktrefoil","ND(Barnes, Burleigh, Cass, Dickey, Grand Forks, Morton, Pembina, Ramsey, Ransom, Richland, Sargent)"
"Desmodium glutinosum","pointedleaf ticktrefoil","ND(Cass, Pembina, Ransom, Richland)"
"Dicentra","bleeding heart","ND(Ransom, Sargent)"
"Dicentra cucullaria","dutchman's breeches","ND(Ransom, Sargent)"
"Dichanthelium","rosette grass","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burleigh, Cass, Cavalier, Dickey, Eddy, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, LaMoure, McHenry, Mercer, Morton, Pembina, Pierce, Ransom, Richland, Sargent, Sheridan, Sioux, Stutsman)"
"Dichanthelium acuminatum","tapered rosette grass","ND(Bottineau, Cass, McHenry, Ransom, Richland)"
"Dichanthelium acuminatum var. fasciculatum","western panicgrass","ND(Bottineau, Cass, McHenry, Ransom, Richland)"
"Dichanthelium leibergii","Leiberg's panicum","ND(Barnes, Benson, Cass, Cavalier, Dickey, Eddy, Emmons, Foster, Griggs, LaMoure, Pembina, Ransom, Richland, Sargent, Sioux, Stutsman)"
"Dichanthelium linearifolium","slimleaf panicgrass","ND(Burleigh, Cass, Mercer, Morton)"
"Dichanthelium oligosanthes","Heller's rosette grass","ND(Bowman, Cass, Grant, Ransom, Richland, Sargent, Sioux)"
"Dichanthelium oligosanthes var. scribnerianum","Scribner's rosette grass","ND(Bowman, Cass, Grant, Ransom, Richland, Sargent, Sioux)"
"Dichanthelium villosissimum","whitehair rosette grass","ND(Richland)"
"Dichanthelium villosissimum var. praecocius","whitehair rosette grass","ND(Richland)"
"Dichanthelium wilcoxianum","fall rosette grass","ND(Barnes, Benson, Billings, Bowman, Cass, Dickey, Eddy, Emmons, Grand Forks, Grant, Griggs, Kidder, McHenry, Morton, Pembina, Pierce, Ransom, Richland, Sheridan, Sioux, Stutsman)"
"Digitaria","crabgrass","ND(Barnes, Burleigh, Cass, Emmons, Grand Forks, Pierce, Richland, Sargent, Stark, Traill, Williams)"
"Digitaria ischaemum","smooth crabgrass","ND(Barnes, Burleigh, Cass, Emmons, Grand Forks, Richland, Sargent, Stark, Traill, Williams)"
"Digitaria sanguinalis","hairy crabgrass","ND(Cass, Grand Forks, Pierce, Richland, Sargent)"
"Distichlis","saltgrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grant, Hettinger, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Distichlis spicata","saltgrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grant, Hettinger, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Dodecatheon","shootingstar","ND(Bottineau, Bowman, Burke, Divide, Mountrail, Rolette)"
"Dodecatheon pulchellum","darkthroat shootingstar","ND(Bottineau, Bowman, Burke, Divide, Mountrail, Rolette)"
"Dodecatheon pulchellum ssp. pulchellum","darkthroat shootingstar","ND(Bottineau, Bowman, Burke, Divide, Mountrail, Rolette)"
"Doellingeria","whitetop","ND(Barnes, Benson, Bottineau, Cavalier, Eddy, Griggs, Pembina, Ransom, Richland, Rolette)"
"Doellingeria umbellata","parasol whitetop","ND(Barnes, Benson, Bottineau, Cavalier, Eddy, Griggs, Pembina, Ransom, Richland, Rolette)"
"Doellingeria umbellata var. pubens","parasol whitetop","ND(Barnes, Benson, Bottineau, Cavalier, Eddy, Griggs, Pembina, Ransom, Richland, Rolette)"
"Draba","draba","ND(Adams, Barnes, Benson, Billings, Burke, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, LaMoure, Logan, McKenzie, McLean, Mountrail, Oliver, Pembina, Ramsey, Richland, Rolette, Slope, Stark, Stutsman, Walsh, Ward, Williams)"
"Draba nemorosa","woodland draba","ND(Adams, Barnes, Benson, Billings, Burke, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, LaMoure, Logan, McKenzie, Mountrail, Oliver, Pembina, Ramsey, Richland, Rolette, Slope, Stark, Stutsman, Walsh, Ward, Williams)"
"Draba reptans","Carolina draba","ND(Adams, Billings, Cass, Emmons, Logan, McLean, Richland, Slope, Stark)"
"Dracocephalum","dragonhead","ND(Barnes, Benson, Bottineau, Cass, Cavalier, Divide, Dunn, Hettinger, Kidder, Morton, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Stark, Stutsman, Traill, Walsh, Ward)"
"Dracocephalum parviflorum","American dragonhead","ND(Barnes, Benson, Bottineau, Cass, Cavalier, Divide, Dunn, Kidder, Morton, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Stutsman, Traill, Ward)"
"Dracocephalum thymiflorum","thymeleaf dragonhead","ND(Hettinger, Stark, Walsh)"
"Dracopis","coneflower","ND(Logan)"
"Dracopis amplexicaulis","clasping coneflower","ND(Logan)"
"Drosera","sundew","ND(Bottineau)"
"Drosera rotundifolia","roundleaf sundew","ND(Bottineau)"
"Drosera rotundifolia var. rotundifolia","roundleaf sundew","ND(Bottineau)"
"Dryopteris","woodfern","ND(Cass, Pembina, Ransom, Richland)"
"Dryopteris carthusiana","spinulose woodfern","ND(Cass, Pembina, Ransom, Richland)"
"Dryopteris cristata","crested woodfern","ND(Cass, Pembina, Ransom, Richland)"
"Dysphania","dysphania","ND(Cass)"
"Dysphania botrys","Jerusalem oak goosefoot","ND(Cass)"
"Dyssodia","dyssodia","ND(Billings, Burleigh, Dunn, Golden Valley, Grant, McKenzie, Mercer, Morton, Sioux, Slope, Stark)"
"Dyssodia papposa","fetid marigold","ND(Billings, Burleigh, Dunn, Golden Valley, Grant, McKenzie, Mercer, Morton, Sioux, Slope, Stark)"
"Echinacea","purple coneflower","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Echinacea angustifolia","blacksamson echinacea","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Echinacea angustifolia var. angustifolia","blacksamson echinacea","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Echinochloa","cockspur grass","ND(Barnes, Benson, Cass, Dickey, Emmons, LaMoure, Logan, McHenry, Pembina, Ransom, Steele, Stutsman, Traill, Ward)"
"Echinochloa crus-galli","barnyardgrass","ND(Cass, Dickey, Logan, Steele)"
"Echinochloa muricata","rough barnyardgrass","ND(Barnes, Benson, Cass, Emmons, LaMoure, McHenry, Pembina, Ransom, Steele, Stutsman, Traill, Ward)"
"Echinochloa muricata var. microstachya","rough barnyardgrass","ND(Barnes, Benson, Cass, Emmons, LaMoure, McHenry, Pembina, Ransom, Steele, Stutsman, Traill, Ward)"
"Echinocystis","echinocystis","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Griggs, Hettinger, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Ransom, Richland, Sargent, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Echinocystis lobata","wild cucumber","ND(Barnes, Bottineau, Burke, Burleigh, Cass, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Griggs, Hettinger, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Ransom, Richland, Sargent, Slope, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Elaeagnus","oleaster","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Elaeagnus angustifolia","Russian olive","ND(Barnes, Benson, Billings, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Grand Forks, Grant, Griggs, Kidder, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Sargent, Stark, Stutsman, Traill, Walsh, Wells, Williams)"
"Elaeagnus commutata","silverberry","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Grand Forks, Griggs, Kidder, LaMoure, Logan, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Renville, Richland, Rolette, Sheridan, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Elatine","waterwort","ND(Cass, Hettinger)"
"Elatine rubella","southwestern waterwort","ND(Cass, Hettinger)"
"Eleocharis","spikerush","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Eleocharis acicularis","needle spikerush","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Divide, Emmons, Foster, Golden Valley, Grant, Hettinger, LaMoure, Logan, McHenry, McLean, Mercer, Mountrail, Pierce, Ransom, Richland, Rolette, Sheridan, Sioux, Slope, Stark, Stutsman, Traill, Ward, Williams)"
"Eleocharis compressa","flatstem spikerush","ND(Barnes, Bottineau, Cass, Dickey, Divide, Grant, LaMoure, McHenry, Mountrail, Ransom, Richland, Rolette, Slope, Williams)"
"Eleocharis compressa var. compressa","flatstem spikerush","ND(Barnes, Bottineau, Cass, Dickey, Divide, Grant, LaMoure, McHenry, Mountrail, Ransom, Richland, Rolette, Slope, Williams)"
"Eleocharis engelmannii","Engelmann's spikerush","ND(Barnes, Benson, Burke, Cass, Divide, Emmons, Logan, McLean, Mountrail, Ransom, Richland, Sargent, Sheridan, Steele, Stutsman, Ward)"
"Eleocharis erythropoda","bald spikerush","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Dickey, Eddy, Emmons, Golden Valley, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McKenzie, Mercer, Pembina, Ramsey, Ransom, Richland, Rolette, Sioux, Stutsman, Traill, Ward, Williams)"
"Eleocharis macrostachya","pale spikerush","ND(Barnes, Benson, Bowman, Burleigh, Cass, Dunn, Kidder, Morton, Mountrail, Renville, Rolette, Williams)"
"Eleocharis palustris","common spikerush","ND(Adams, Barnes, Bowman, Burke, Divide, Eddy, McLean, Nelson, Ramsey, Rolette, Stutsman, Ward, Williams)"
"Eleocharis palustris var. palustris","common spikerush","ND(Adams, Barnes, Bowman, Burke, Divide, Eddy, McLean, Nelson, Ramsey, Rolette, Stutsman, Ward, Williams)"
"Eleocharis parvula","dwarf spikerush","ND(Burleigh, Grand Forks)"
"Eleocharis quinqueflora","fewflower spikerush","ND(McHenry)"
"Eleocharis wolfii","Wolf's spikerush","ND(Cass)"
"Ellisia","ellisia","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Emmons, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Ellisia nyctelea","Aunt Lucy","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Emmons, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Elodea","waterweed","ND(Barnes, Benson, Burke, Cass, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, LaMoure, Logan, McIntosh, Morton, Mountrail, Nelson, Ransom, Richland, Stutsman, Traill, Walsh)"
"Elodea canadensis","Canadian waterweed","ND(Barnes, Benson, Burke, Cass, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, LaMoure, Logan, McIntosh, Morton, Mountrail, Nelson, Ransom, Richland, Stutsman, Traill, Walsh)"
"×Elyhordeum","barley","ND(Adams, Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, McKenzie, Mercer, Morton, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Sheridan, Slope, Stark, Stutsman, Ward, Williams)"
"×Elyhordeum macounii","Macoun's barley","ND(Adams, Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, McKenzie, Mercer, Morton, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Sheridan, Slope, Stark, Stutsman, Ward, Williams)"
"×Elyhordeum montanense","mountain barley","ND(Ward)"
"Elymus","wildrye","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Elymus canadensis","Canada wildrye","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
