"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Cuscuta gronovii var. gronovii","scaldweed","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Brunswick, Buchanan, Campbell, Caroline, Carroll, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Hanover, Henrico, Isle of Wight, James City, King George, King and Queen, Lancaster, Lee, Loudoun, Madison, Mathews, Middlesex, Montgomery, Nelson, New Kent, Northumberland, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Spotsylvania, Stafford, Surry, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Cuscuta indecora","bigseed alfalfa dodder","VA(Chesapeake (city), Essex, Fauquier, Giles, Hampton (city), Virginia Beach (city), York)"
"Cuscuta indecora var. indecora","bigseed alfalfa dodder","VA(Chesapeake (city), Essex, Fauquier, Giles, Hampton (city), Virginia Beach (city), York)"
"Cuscuta pentagona","fiveangled dodder","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Bedford, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Roanoke, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, York)"
"Cuscuta pentagona var. pentagona","fiveangled dodder","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Bedford, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Roanoke, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, York)"
"Cuscuta polygonorum","smartweed dodder","VA(Accomack, Fairfax, Page, Richmond, Rockingham, Virginia Beach (city))"
"Cuscuta rostrata","beaked dodder","VA(Bath, Buchanan, Grayson, Highland, Nelson, Rappahannock, Rockbridge, Russell, Smyth, Tazewell)"
"Cyclachaena","carelessweed","VA(Montgomery)"
"Cyclachaena xanthiifolia","Carelessweed","VA(Montgomery)"
"Cycloloma","cycloloma","VA(Chesapeake (city), Northampton)"
"Cycloloma atriplicifolium","winged pigweed","VA(Chesapeake (city), Northampton)"
"Cyclospermum","marsh parsley","VA(Hampton (city), James City, Virginia Beach (city))"
"Cyclospermum leptophyllum","marsh parsley","VA(Hampton (city), James City, Virginia Beach (city))"
"Cymbalaria","cymbalaria","VA(Campbell, Dinwiddie, Fairfax, Gloucester, Henrico, Mathews, Rockbridge, Rockingham)"
"Cymbalaria muralis","Kenilworth ivy","VA(Campbell, Dinwiddie, Fairfax, Gloucester, Henrico, Mathews, Rockbridge, Rockingham)"
"Cymophyllus","cymophyllus","VA(Bland, Grayson, Highland, Scott, Smyth, Tazewell, Washington, Wise, Wythe)"
"Cymophyllus fraserianus","Fraser's cymophyllus","VA(Bland, Grayson, Highland, Scott, Smyth, Tazewell, Washington, Wise, Wythe)"
"Cynanchum","swallow-wort","VA(Albemarle, Amelia, Amherst, Appomattox, Arlington, Bedford, Buckingham, Campbell, Charlotte, Chesterfield, Clarke, Cumberland, Dinwiddie, Fairfax, Fauquier, Fluvanna, Giles, Gloucester, Hanover, Henrico, Isle of Wight, James City, King George, King William, Loudoun, Louisa, Mecklenburg, Montgomery, Nelson, Newport News (city), Orange, Page, Pittsylvania, Prince Edward, Prince George, Rockingham, Shenandoah, Spotsylvania, Stafford, Surry, Sussex, Warren, Westmoreland)"
"Cynanchum laeve","honeyvine","VA(Albemarle, Amelia, Amherst, Appomattox, Arlington, Bedford, Buckingham, Campbell, Charlotte, Chesterfield, Clarke, Cumberland, Dinwiddie, Fairfax, Fauquier, Fluvanna, Giles, Gloucester, Hanover, Henrico, Isle of Wight, James City, King George, King William, Loudoun, Louisa, Mecklenburg, Montgomery, Nelson, Newport News (city), Orange, Page, Pittsylvania, Prince Edward, Prince George, Rockingham, Shenandoah, Spotsylvania, Stafford, Surry, Sussex, Warren, Westmoreland)"
"Cynodon","Bermudagrass","VA(Accomack, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Franklin, Frederick, Giles, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wythe, York)"
"Cynodon dactylon","Bermudagrass","VA(Accomack, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Franklin, Frederick, Giles, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wythe, York)"
"Cynoglossum","hound's tongue","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Gloucester, Goochland, Greene, Greensville, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, Newport News (city), Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Stafford, Suffolk (city), Surry, Tazewell, Virginia Beach (city), Warren, Washington, Wise, York)"
"Cynoglossum officinale","gypsyflower","VA(Albemarle, Alleghany, Arlington, Augusta, Bath, Bedford, Botetourt, Buchanan, Clarke, Craig, Frederick, Giles, Greene, Highland, Lee, Loudoun, Madison, Montgomery, Orange, Pulaski, Rockbridge, Rockingham, Russell, Shenandoah, Smyth, Tazewell, Warren, Washington)"
"Cynoglossum virginianum","wild comfrey","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Gloucester, Goochland, Greene, Greensville, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, Lee, Louisa, Lunenburg, Mecklenburg, Middlesex, Montgomery, Nelson, Newport News (city), Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Scott, Shenandoah, Smyth, Stafford, Suffolk (city), Surry, Tazewell, Virginia Beach (city), Warren, Washington, Wise, York)"
"Cynoglossum virginianum var. virginianum","wild comfrey","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Gloucester, Goochland, Greene, Greensville, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, Lee, Louisa, Lunenburg, Mecklenburg, Middlesex, Montgomery, Nelson, Newport News (city), Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Scott, Shenandoah, Smyth, Stafford, Suffolk (city), Surry, Tazewell, Virginia Beach (city), Warren, Washington, Wise, York)"
"Cynosurus","dogstail grass","VA(Accomack, Goochland, Hanover, Isle of Wight, Mecklenburg, Newport News (city), Nottoway, Virginia Beach (city), York)"
"Cynosurus echinatus","bristly dogstail grass","VA(Accomack, Goochland, Hanover, Isle of Wight, Mecklenburg, Newport News (city), Nottoway, Virginia Beach (city), York)"
"Cyperus","flatsedge","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Cyperus acuminatus","tapertip flatsedge","VA(Roanoke)"
"Cyperus bipartitus","slender flatsedge","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Arlington, Augusta, Bland, Buchanan, Campbell, Caroline, Chesapeake (city), Chesterfield, Clarke, Cumberland, Essex, Fairfax, Fauquier, Frederick, Giles, Grayson, Halifax, Hampton (city), Henrico, Highland, Isle of Wight, James City, Loudoun, Louisa, Montgomery, Northumberland, Page, Powhatan, Prince Edward, Rappahannock, Roanoke, Rockbridge, Shenandoah, Smyth, Spotsylvania, Stafford, Suffolk (city), Surry, Tazewell, Virginia Beach (city), Wythe, York)"
"Cyperus compressus","poorland flatsedge","VA(Accomack, Brunswick, Chesapeake (city), Chesterfield, Dinwiddie, Essex, Gloucester, Greensville, Hampton (city), Hanover, Henrico, Isle of Wight, King William, King and Queen, Lancaster, Mecklenburg, Northampton, Prince George, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city))"
"Cyperus croceus","Baldwin's flatsedge","VA(Augusta, Caroline, Chesterfield, Fairfax, Henrico, Isle of Wight, James City, King William, Lancaster, Mathews, Middlesex, New Kent, Powhatan, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city), York)"
"Cyperus dentatus","toothed flatsedge","VA(Augusta)"
"Cyperus diandrus","umbrella flatsedge","VA(Isle of Wight, Lancaster, Loudoun, Shenandoah, Stafford, Virginia Beach (city), York)"
"Cyperus difformis","variable flatsedge","VA(Amelia, Chesapeake (city), Fairfax, James City, Newport News (city), Virginia Beach (city))"
"Cyperus echinatus","globe flatsedge","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Augusta, Brunswick, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Gloucester, Goochland, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, Lancaster, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Scott, Southampton, Spotsylvania, Stafford, Surry, Sussex, Virginia Beach (city), Warren, Westmoreland, York)"
"Cyperus erythrorhizos","redroot flatsedge","VA(Accomack, Albemarle, Bedford, Brunswick, Caroline, Charles City, Chesapeake (city), Chesterfield, Cumberland, Dinwiddie, Fairfax, Fauquier, Hampton (city), Hanover, Henrico, King George, King William, Loudoun, Mecklenburg, Newport News (city), Northampton, Powhatan, Prince Edward, Prince George, Prince William, Rockingham, Southampton, Spotsylvania, Stafford, Surry, Virginia Beach (city))"
"Cyperus esculentus","yellow nutsedge","VA(Accomack, Albemarle, Alleghany, Arlington, Augusta, Botetourt, Brunswick, Campbell, Charles City, Charlotte, Chesapeake (city), Clarke, Culpeper, Dickenson, Essex, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Gloucester, Greene, Greensville, Halifax, Hampton (city), Henry, Isle of Wight, James City, King George, King William, Loudoun, Louisa, Lunenburg, Mathews, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Prince Edward, Prince George, Prince William, Pulaski, Rockbridge, Russell, Scott, Shenandoah, Smyth, Southampton, Stafford, Suffolk (city), Surry, Virginia Beach (city), Warren, Westmoreland, Wise, York)"
"Cyperus filicinus","fern flatsedge","VA(Accomack, Chesapeake (city), Chesterfield, Essex, Gloucester, Hampton (city), Henrico, Isle of Wight, James City, King William, King and Queen, Lancaster, Mathews, Middlesex, New Kent, Newport News (city), Northampton, Northumberland, Prince William, Richmond, Southampton, Stafford, Surry, Sussex, Virginia Beach (city), Westmoreland, York)"
"Cyperus flavescens","yellow flatsedge","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Bland, Botetourt, Buchanan, Buckingham, Charles City, Charlotte, Chesterfield, Craig, Dickenson, Dinwiddie, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Goochland, Greensville, Hampton (city), Henrico, Henry, Isle of Wight, James City, King William, Lee, Loudoun, Louisa, Lunenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Wise, York)"
"Cyperus flavicomus","whiteedge flatsedge","VA(Accomack, Brunswick, Chesapeake (city), Chesterfield, Dinwiddie, Gloucester, Greensville, Hampton (city), Henrico, Isle of Wight, King William, New Kent, Northampton, Nottoway, Southampton, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city))"
"Cyperus fuscus","brown flatsedge","VA(Arlington, Fairfax)"
"Cyperus granitophilus","granite flatsedge","VA(Brunswick, Mecklenburg, Nottoway)"
"Cyperus grayi","Gray's flatsedge","VA(Accomack, Chesapeake (city), Gloucester, Hampton (city), Isle of Wight, James City, King George, Lancaster, Loudoun, Mathews, New Kent, Northampton, Northumberland, Southampton, Suffolk (city), Virginia Beach (city))"
"Cyperus haspan","haspan flatsedge","VA(Accomack, Charles City, Chesapeake (city), Essex, James City, New Kent, Virginia Beach (city), Westmoreland)"
"Cyperus houghtonii","Houghton's flatsedge","VA(Page)"
"Cyperus iria","ricefield flatsedge","VA(Accomack, Albemarle, Amelia, Arlington, Brunswick, Buckingham, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Gloucester, Goochland, Greensville, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lunenburg, Mecklenburg, Newport News (city), Northampton, Northumberland, Nottoway, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Southampton, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Westmoreland, York)"
"Cyperus lancastriensis","manyflower flatsedge","VA(Albemarle, Amelia, Amherst, Arlington, Bedford, Buckingham, Campbell, Caroline, Carroll, Charles City, Chesapeake (city), Chesterfield, Culpeper, Essex, Fairfax, Franklin, Frederick, Giles, Gloucester, Goochland, Greensville, Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Louisa, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Page, Pittsylvania, Powhatan, Prince Edward, Prince George, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Spotsylvania, Stafford, Surry, Sussex, Virginia Beach (city), Washington, Westmoreland, York)"
"Cyperus lupulinus","Great Plains flatsedge","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Brunswick, Buckingham, Campbell, Caroline, Charles City, Chesterfield, Clarke, Craig, Dinwiddie, Essex, Fairfax, Fauquier, Franklin, Giles, Gloucester, Goochland, Greene, Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Madison, Mathews, Mecklenburg, Middlesex, Nelson, New Kent, Northumberland, Nottoway, Page, Pittsylvania, Powhatan, Prince Edward, Prince William, Richmond, Rockingham, Russell, Shenandoah, Southampton, Spotsylvania, Stafford, Suffolk (city), Sussex, Virginia Beach (city), Warren, Washington, Westmoreland, York)"
