"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Cephalanthus","buttonbush","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Sumter, Williamsburg, York)"
"Cephalanthus occidentalis","common buttonbush","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Sumter, Williamsburg, York)"
"Cerastium","mouse-ear chickweed","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Cerastium brachypetalum","gray chickweed","SC(Cherokee, Lancaster, Spartanburg, York)"
"Cerastium brachypodum","shortstalk chickweed","SC(Lancaster)"
"Cerastium fontanum","common mouse-ear chickweed","SC(Cherokee, Clarendon, Darlington, Fairfield, Jasper, Kershaw, Oconee, Orangeburg, Pickens, Williamsburg)"
"Cerastium fontanum ssp. vulgare","big chickweed","SC(Cherokee, Clarendon, Darlington, Fairfield, Jasper, Kershaw, Oconee, Orangeburg, Pickens, Williamsburg)"
"Cerastium glomeratum","sticky chickweed","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Cerastium nutans","nodding chickweed","SC(McCormick, Oconee)"
"Cerastium nutans var. nutans","nodding chickweed","SC(McCormick, Oconee)"
"Ceratiola","ceratiola","SC(Aiken, Bamberg, Horry, Kershaw, Lexington, Richland)"
"Ceratiola ericoides","sand heath","SC(Aiken, Bamberg, Horry, Kershaw, Lexington, Richland)"
"Ceratophyllum","hornwort","SC(Allendale, Charleston, Clarendon, Colleton, Dorchester)"
"Ceratophyllum demersum","coon's tail","SC(Allendale, Charleston, Clarendon, Dorchester)"
"Ceratophyllum echinatum","spineless hornwort","SC(Colleton)"
"Cercis","redbud","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Darlington, Dorchester, Edgefield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Cercis canadensis","eastern redbud","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Darlington, Dorchester, Edgefield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Cercis canadensis var. canadensis","eastern redbud","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Darlington, Dorchester, Edgefield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Chaerophyllum","chervil","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Chaerophyllum procumbens","spreading chervil","SC(Chesterfield, Edgefield)"
"Chaerophyllum procumbens var. procumbens","spreading chervil","SC(Chesterfield)"
"Chaerophyllum procumbens var. shortii","Short's spreading chervil","SC(Edgefield)"
"Chaerophyllum tainturieri","hairyfruit chervil","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Chamaecrista","sensitive pea","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg, York)"
"Chamaecrista fasciculata","partridge pea","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Williamsburg, York)"
"Chamaecrista fasciculata var. fasciculata","partridge pea","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Williamsburg, York)"
"Chamaecrista nictitans","sensitive partridge pea","SC(Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lexington, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, York)"
"Chamaecrista nictitans ssp. nictitans","sensitive partridge pea","SC(Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lexington, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, York)"
"Chamaecrista nictitans ssp. nictitans var. aspera","sensitive partridge pea","SC(Beaufort, Charleston, Jasper)"
"Chamaecrista nictitans ssp. nictitans var. nictitans","sensitive partridge pea","SC(Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lexington, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, York)"
"Chamaecyparis","cedar","SC(Chesterfield, Darlington, Kershaw, Lexington, Marlboro)"
"Chamaecyparis thyoides","Atlantic white cedar","SC(Chesterfield, Darlington, Kershaw, Lexington, Marlboro)"
"Chamaedaphne","leatherleaf","SC(Berkeley, Horry, Marion, Sumter)"
"Chamaedaphne calyculata","leatherleaf","SC(Berkeley, Horry, Marion, Sumter)"
"Chamaelirium","chamaelirium","SC(Abbeville, Anderson, Calhoun, Cherokee, Chester, Darlington, Edgefield, Fairfield, Greenville, Horry, Kershaw, Lancaster, Lexington, McCormick, Oconee, Richland, Sumter, York)"
"Chamaelirium luteum","fairywand","SC(Abbeville, Anderson, Calhoun, Cherokee, Chester, Darlington, Edgefield, Fairfield, Greenville, Horry, Kershaw, Lancaster, Lexington, McCormick, Oconee, Richland, Sumter, York)"
"Chamaesyce","sandmat","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Chamaesyce bombensis","dixie sandmat","SC(Beaufort, Charleston)"
"Chamaesyce cordifolia","heartleaf sandmat","SC(Bamberg, Barnwell, Clarendon, Darlington, Jasper, Kershaw)"
"Chamaesyce hirta","pillpod sandmat","SC(Jasper)"
"Chamaesyce maculata","spotted sandmat","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Chamaesyce polygonifolia","seaside sandmat","SC(Beaufort, Charleston, Georgetown, Horry)"
"Chamaesyce prostrata","prostrate sandmat","SC(Kershaw, Orangeburg)"
"Chaptalia","sunbonnetts","SC(Bamberg, Barnwell, Berkeley, Charleston, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Marion, Orangeburg, Williamsburg)"
"Chaptalia tomentosa","woolly sunbonnets","SC(Bamberg, Barnwell, Berkeley, Charleston, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Marion, Orangeburg, Williamsburg)"
"Chasmanthium","woodoats","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Williamsburg, York)"
"Chasmanthium latifolium","Indian woodoats","SC(Abbeville, Aiken, Anderson, Berkeley, Cherokee, Chester, Dorchester, Edgefield, Fairfield, Georgetown, Greenville, Greenwood, Lancaster, Laurens, Lee, Lexington, McCormick, Newberry, Pickens, Richland, Saluda, Spartanburg, York)"
"Chasmanthium laxum","slender woodoats","SC(Aiken, Allendale, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Dillon, Dorchester, Edgefield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Lancaster, Lee, Marion, Marlboro, Oconee, Orangeburg, Pickens, Richland, Williamsburg)"
"Chasmanthium nitidum","shiny woodoats","SC(Charleston)"
"Chasmanthium sessiliflorum","longleaf woodoats","SC(Abbeville, Anderson, Berkeley, Calhoun, Charleston, Cherokee, Clarendon, Dorchester, Edgefield, Georgetown, Greenwood, Kershaw, Lancaster, McCormick, Pickens, Saluda, Spartanburg, Sumter, York)"
"Cheilanthes","lipfern","SC(Anderson, Greenville, Kershaw, Lancaster, Lexington, McCormick, Oconee, Pickens, Union)"
"Cheilanthes lanosa","hairy lipfern","SC(Anderson, Greenville, Kershaw, Lancaster, McCormick, Oconee, Pickens, Union)"
"Cheilanthes tomentosa","woolly lipfern","SC(Greenville, Lancaster, Lexington, Oconee, Pickens, Union)"
"Chelone","turtlehead","SC(Bamberg, Barnwell, Calhoun, Charleston, Dorchester, Greenville, Lancaster, Laurens, Orangeburg, Pickens, Sumter, Union)"
"Chelone glabra","white turtlehead","SC(Charleston, Dorchester, Lancaster, Orangeburg, Pickens, Sumter, Union)"
"Chelone lyonii","pink turtlehead","SC(Greenville)"
"Chelone obliqua","red turtlehead","SC(Bamberg, Barnwell, Calhoun, Charleston, Laurens, Pickens)"
"Chenopodium","goosefoot","SC(Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Horry, Kershaw, Laurens, Lee, Lexington, Marion, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Spartanburg, Sumter, York)"
"Chenopodium album","lambsquarters","SC(Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Horry, Kershaw, Laurens, Lee, Lexington, Marion, Newberry, Oconee, Orangeburg, Pickens, Spartanburg, York)"
"Chenopodium murale","nettleleaf goosefoot","SC(Chester, Edgefield)"
"Chenopodium pratericola","desert goosefoot","SC(Allendale, Bamberg, Barnwell, Charleston, Chesterfield, Colleton, Marlboro, Orangeburg, Sumter)"
"Chenopodium standleyanum","Standley's goosefoot","SC(Clarendon)"
"Chimaphila","prince's pine","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chesterfield, Darlington, Dorchester, Fairfield, Greenville, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Union, Williamsburg, York)"
"Chimaphila maculata","striped prince's pine","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chesterfield, Darlington, Dorchester, Fairfield, Greenville, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Union, Williamsburg, York)"
"Chionanthus","fringetree","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Charleston, Cherokee, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Union, Williamsburg, York)"
"Chionanthus virginicus","white fringetree","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Charleston, Cherokee, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Union, Williamsburg, York)"
"Chrysogonum","chrysogonum","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Darlington, Dorchester, Edgefield, Fairfield, Florence, Greenville, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Richland, Saluda, Spartanburg, York)"
"Chrysogonum virginianum","green and gold","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Darlington, Dorchester, Edgefield, Fairfield, Florence, Greenville, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Richland, Saluda, Spartanburg, York)"
"Chrysogonum virginianum var. virginianum","green and gold","SC(Abbeville, Darlington, Florence, Horry, Lancaster, Richland)"
"Chrysoma","chrysoma","SC(Lexington)"
"Chrysoma pauciflosculosa","woody goldenrod","SC(Lexington)"
"Chrysopsis","goldenaster","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Chrysopsis gossypina","cottony goldenaster","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marlboro, Orangeburg, Richland, Saluda, Sumter, Williamsburg)"
"Chrysopsis gossypina ssp. gossypina","cottony goldenaster","SC(Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Chesterfield, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marlboro, Orangeburg, Richland, Saluda, Sumter, Williamsburg)"
"Chrysopsis mariana","Maryland goldenaster","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Greenville, Greenwood, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Cichorium","chicory","SC(Chester, Darlington, Greenwood, Spartanburg, York)"
"Cichorium intybus","chicory","SC(Chester, Darlington, Greenwood, Spartanburg, York)"
"Cicuta","water hemlock","SC(Abbeville, Aiken, Anderson, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Jasper, Kershaw, Lancaster, McCormick, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union)"
"Cicuta maculata","spotted water hemlock","SC(Abbeville, Aiken, Anderson, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Jasper, Kershaw, Lancaster, McCormick, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union)"
"Cicuta maculata var. maculata","spotted water hemlock","SC(Abbeville, Aiken, Anderson, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Jasper, Kershaw, Lancaster, McCormick, Oconee, Orangeburg, Pickens, Saluda, Spartanburg, Sumter, Union)"
"Cinna","woodreed","SC(Aiken, Anderson, Beaufort, Chesterfield, Dillon, Greenville, Greenwood, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Pickens, Richland, Saluda, York)"
"Cinna arundinacea","sweet woodreed","SC(Aiken, Anderson, Beaufort, Chesterfield, Dillon, Greenville, Greenwood, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Pickens, Richland, Saluda, York)"
"Cinnamomum","cinnamon","SC(Charleston)"
"Cinnamomum camphora","camphortree","SC(Charleston)"
"Circaea","enchanter's nightshade","SC(Darlington)"
"Circaea lutetiana","broadleaf enchanter's nightshade","SC(Darlington)"
"Circaea lutetiana ssp. canadensis","broadleaf enchanter's nightshade","SC(Darlington)"
"Cirsium","thistle","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
