"","",""
"Abelia","abelia","FL(Franklin)"
"Ayenia euphrasiifolia","eyebright ayenia","FL(Miami-Dade, Monroe, Palm Beach)"
"Azolla","mosquitofern","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Collier, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lake, Leon, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Orange, Osceola, Palm Beach, Pinellas, Polk, Putnam, Sarasota, Seminole, Sumter, Taylor, Volusia)"
"Azolla caroliniana","Carolina mosquitofern","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Collier, Duval, Escambia, Flagler, Franklin, Gadsden, Glades, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lake, Leon, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Orange, Osceola, Palm Beach, Pinellas, Polk, Putnam, Sarasota, Seminole, Sumter, Taylor, Volusia)"
"Azolla filiculoides","Pacific mosquitofern","FL(Marion)"
"Azolla pinnata","feathered mosquitofern","FL(Palm Beach)"
"Azolla pinnata ssp. asiatica","feathered mosquitofern","FL(Palm Beach)"
"Baccharis","baccharis","FL(Alachua, Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Baccharis angustifolia","saltwater false willow","FL(Bay, Brevard, Citrus, Collier, Dixie, Duval, Escambia, Flagler, Franklin, Hernando, Lee, Levy, Manatee, Martin, Miami-Dade, Monroe, Orange, Pasco, Pinellas, Putnam, Seminole, St. Johns, St. Lucie, Volusia, Wakulla)"
"Baccharis dioica","broombush false willow","FL(Miami-Dade)"
"Baccharis glomeruliflora","silverling","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, Dixie, Duval, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lafayette, Lake, Lee, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton)"
"Baccharis halimifolia","eastern baccharis","FL(Alachua, Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Bacopa","waterhyssop","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Bacopa caroliniana","blue waterhyssop","FL(Alachua, Baker, Bay, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, St. Johns, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Washington)"
"Bacopa innominata","tropical waterhyssop","FL(Alachua, Columbia, Duval, Hamilton, Jefferson, Lake, Leon, Marion, Nassau, Okeechobee, Pasco, Putnam, Sarasota, Sumter, Union)"
"Bacopa monnieri","herb of grace","FL(Bay, Bradford, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Dixie, Duval, Escambia, Flagler, Franklin, Glades, Gulf, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Taylor, Volusia, Wakulla, Walton)"
"Balduina","honeycombhead","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Balduina angustifolia","coastal plain honeycombhead","FL(Alachua, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Hernando, Highlands, Hillsborough, Indian River, Lafayette, Lake, Lee, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Balduina atropurpurea","purpledisk honeycombhead","FL(Clay, Duval, Nassau, Putnam)"
"Balduina uniflora","oneflower honeycombhead","FL(Alachua, Baker, Bay, Bradford, Calhoun, Clay, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hamilton, Holmes, Jackson, Leon, Liberty, Nassau, Okaloosa, Santa Rosa, St. Johns, Wakulla, Walton, Washington)"
"Bambusa","bamboo","FL(Alachua, Brevard, Citrus, Franklin, Lee, Manatee, Marion, Orange, Palm Beach, Pinellas, Seminole)"
"Bambusa multiplex","hedge bamboo","FL(Alachua, Citrus, Franklin, Lee, Manatee, Marion, Orange, Seminole)"
"Bambusa vulgaris","common bamboo","FL(Brevard, Lee, Palm Beach, Pinellas)"
"Baptisia","wild indigo","FL(Alachua, Baker, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Baptisia alba","white wild indigo","FL(Alachua, Calhoun, Citrus, Dixie, Escambia, Franklin, Gadsden, Gulf, Hamilton, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Baptisia alba var. alba","white wild indigo","FL(Alachua, Calhoun, Citrus, Dixie, Escambia, Franklin, Gadsden, Gulf, Hamilton, Holmes, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Baptisia albescens","spiked wild indigo","FL(Calhoun, Gadsden, Gulf, Jackson)"
"Baptisia calycosa","Florida wild indigo","FL(Clay, Escambia, Holmes, Okaloosa, Santa Rosa, St. Johns, Walton)"
"Baptisia calycosa var. calycosa","Florida wild indigo","FL(Clay, St. Johns)"
"Baptisia calycosa var. villosa","Florida wild indigo","FL(Escambia, Holmes, Okaloosa, Santa Rosa, Walton)"
"Baptisia lanceolata","gopherweed","FL(Baker, Bay, Bradford, Calhoun, Clay, Escambia, Flagler, Franklin, Gadsden, Gulf, Hernando, Holmes, Jackson, Leon, Liberty, Nassau, Okaloosa, Polk, Putnam, Santa Rosa, St. Johns, Union, Volusia, Wakulla, Walton, Washington)"
"Baptisia lecontei","pineland wild indigo","FL(Alachua, Bay, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Franklin, Gilchrist, Hamilton, Hernando, Highlands, Hillsborough, Jackson, Lafayette, Lake, Levy, Marion, Orange, Pasco, Pinellas, Polk, Sumter, Suwannee, Wakulla)"
"Baptisia megacarpa","Apalachicola wild indigo","FL(Bay, Gadsden, Holmes, Jackson, Leon, Liberty)"
"Baptisia perfoliata","catbells","FL(Orange, Osceola)"
"Baptisia simplicifolia","scareweed","FL(Franklin, Gadsden, Leon, Liberty, Wakulla)"
"Barleria","Philippine violet","FL(Broward, Collier, Highlands, Hillsborough, Miami-Dade, Monroe, Seminole, Sumter)"
"Barleria cristata","crested Philippine violet","FL(Broward, Collier, Highlands, Hillsborough, Miami-Dade, Seminole, Sumter)"
"Barleria lupulina","hophead Philippine violet","FL(Monroe)"
"Bartonia","screwstem","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Charlotte, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Glades, Gulf, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, St. Lucie, Sumter, Volusia, Wakulla, Walton)"
"Bartonia paniculata","twining screwstem","FL(Bay, Clay, Duval, Escambia, Franklin, Gulf, Highlands, Hillsborough, Levy, Liberty, Nassau, Okaloosa, Orange, Pasco, Putnam, Santa Rosa, Walton)"
"Bartonia paniculata ssp. paniculata","twining screwstem","FL(Bay, Clay, Duval, Escambia, Franklin, Gulf, Highlands, Hillsborough, Levy, Liberty, Nassau, Okaloosa, Orange, Pasco, Putnam, Santa Rosa, Walton)"
"Bartonia verna","white screwstem","FL(Alachua, Bay, Bradford, Brevard, Broward, Charlotte, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Glades, Gulf, Hardee, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, St. Lucie, Sumter, Volusia, Wakulla, Walton)"
"Bartonia virginica","yellow screwstem","FL(Baker, Bradford, Brevard, Collier, Columbia, Escambia, Gulf, Hernando, Martin, Nassau, Osceola, Palm Beach, Putnam)"
"Basiphyllaea","basiphyllaea","FL(Miami-Dade, Monroe)"
"Basiphyllaea corallicola","Carter's orchid","FL(Miami-Dade, Monroe)"
"Batis","turtleweed","FL(Bay, Brevard, Charlotte, Citrus, Collier, Duval, Flagler, Franklin, Indian River, Lee, Levy, Manatee, Marion, Miami-Dade, Monroe, Nassau, Pinellas, Sarasota, St. Johns, Taylor, Wakulla)"
"Batis maritima","turtleweed","FL(Bay, Brevard, Charlotte, Citrus, Collier, Duval, Flagler, Franklin, Indian River, Lee, Levy, Manatee, Marion, Miami-Dade, Monroe, Nassau, Pinellas, Sarasota, St. Johns, Taylor, Wakulla)"
"Bauhinia","bauhinia","FL(Brevard, Broward, Lee, Miami-Dade, Polk, St. Lucie)"
"Bauhinia purpurea","butterfly tree","FL(Broward, Miami-Dade, St. Lucie)"
"Bauhinia variegata","mountain ebony","FL(Brevard, Broward, Lee, Miami-Dade, Polk)"
"Bauhinia yunnanensis","Yunnan bauhinia","FL(Miami-Dade)"
"Begonia","begonia","FL(Alachua, Columbia, Escambia, Gadsden, Jefferson, Lake, Leon, Manatee, Marion, Miami-Dade, Orange, Putnam, Seminole, Union, Volusia)"
"Begonia cucullata","clubed begonia","FL(Alachua, Columbia, Escambia, Gadsden, Jefferson, Lake, Leon, Manatee, Marion, Miami-Dade, Orange, Putnam, Seminole, Union, Volusia)"
"Begonia hirtella","Brazilian begonia","FL(Miami-Dade)"
"Bejaria","flyweed","FL(Alachua, Baker, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Dixie, Duval, Flagler, Gilchrist, Hardee, Hendry, Hernando, Highlands, Hillsborough, Lafayette, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Taylor, Union, Volusia)"
"Bejaria racemosa","flyweed","FL(Alachua, Baker, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Dixie, Duval, Flagler, Gilchrist, Hardee, Hendry, Hernando, Highlands, Hillsborough, Lafayette, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Nassau, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Taylor, Union, Volusia)"
"Belamcanda","belamcanda","FL(Leon)"
"Belamcanda chinensis","blackberry lily","FL(Leon)"
"Beloglottis","lady's tresses","FL(Miami-Dade)"
"Beloglottis costaricensis","Costa Rican lady's tresses","FL(Miami-Dade)"
"Berchemia","supplejack","FL(Alachua, Brevard, Calhoun, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gulf, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Putnam, Santa Rosa, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Berchemia scandens","Alabama supplejack","FL(Alachua, Brevard, Calhoun, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Gulf, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Levy, Liberty, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Putnam, Santa Rosa, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Berlandiera","greeneyes","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Citrus, Clay, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Miami-Dade, Nassau, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Berlandiera pumila","soft greeneyes","FL(Alachua, Baker, Bay, Bradford, Calhoun, Clay, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hamilton, Holmes, Jackson, Lafayette, Leon, Liberty, Madison, Marion, Nassau, Okaloosa, Santa Rosa, St. Johns, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Berlandiera pumila var. pumila","soft greeneyes","FL(Alachua, Baker, Bay, Bradford, Calhoun, Clay, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hamilton, Holmes, Jackson, Lafayette, Leon, Liberty, Madison, Marion, Nassau, Okaloosa, Santa Rosa, St. Johns, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Berlandiera subacaulis","Florida greeneyes","FL(Alachua, Brevard, Citrus, Clay, Columbia, DeSoto, Dixie, Gilchrist, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lake, Lee, Leon, Levy, Manatee, Marion, Miami-Dade, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, Sumter, Taylor, Volusia)"
"Betula","birch","FL(Alachua, Baker, Bay, Calhoun, Columbia, Dixie, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Holmes, Jackson, Jefferson, Lafayette, Leon, Levy, Liberty, Nassau, Okaloosa, Santa Rosa, Suwannee, Taylor, Union, Walton, Washington)"
"Betula nigra","river birch","FL(Alachua, Baker, Bay, Calhoun, Columbia, Dixie, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Holmes, Jackson, Jefferson, Lafayette, Leon, Levy, Liberty, Nassau, Okaloosa, Santa Rosa, Suwannee, Taylor, Union, Walton, Washington)"
"Bidens","beggarticks","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Bidens alba","romerillo","FL(Alachua, Baker, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Bidens alba var. radiata","romerillo","FL(Alachua, Baker, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Bidens bipinnata","Spanish needles","FL(Alachua, Broward, Citrus, Columbia, Duval, Flagler, Franklin, Hernando, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Manatee, Marion, Nassau, Polk, Putnam, St. Johns, Sumter, Suwannee, Union, Volusia)"
"Bidens discoidea","small beggarticks","FL(Alachua, Escambia, Jackson, Leon, Liberty, Nassau)"
"Bidens frondosa","devil's beggartick","FL(Calhoun, Escambia, Franklin, Gadsden, Jackson, Leon, Madison, Santa Rosa, Wakulla, Washington)"
"Bidens laevis","smooth beggartick","FL(Alachua, Brevard, Citrus, Collier, Columbia, Duval, Franklin, Hernando, Highlands, Hillsborough, Jefferson, Lake, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Nassau, Okeechobee, Osceola, Polk, Putnam, Santa Rosa, St. Johns, Sumter, Suwannee)"
"Bidens mitis","smallfruit beggarticks","FL(Alachua, Baker, Bay, Bradford, Brevard, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jefferson, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Bidens pilosa","hairy beggarticks","FL(Gulf)"
"Bigelowia","rayless goldenrod","FL(Alachua, Baker, Bay, Bradford, Broward, Calhoun, Charlotte, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, St. Johns, St. Lucie, Sumter, Union, Volusia, Wakulla, Walton, Washington)"
"Bigelowia nudata","pineland rayless goldenrod","FL(Alachua, Baker, Bay, Bradford, Broward, Calhoun, Charlotte, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, St. Johns, St. Lucie, Sumter, Union, Volusia, Wakulla, Walton, Washington)"
"Bigelowia nudata ssp. australis","pineland rayless goldenrod","FL(Alachua, Bradford, Broward, Charlotte, Collier, DeSoto, Flagler, Hardee, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Martin, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Sarasota, St. Lucie, Sumter, Volusia)"
"Bigelowia nuttallii","Nuttall's rayless goldenrod","FL(Pinellas, Washington)"
"Bignonia","bignonia","FL(Alachua, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Hamilton, Hernando, Jackson, Jefferson, Lafayette, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Polk, Santa Rosa, Seminole, Suwannee, Union, Volusia, Wakulla, Walton)"
"Bignonia capreolata","crossvine","FL(Alachua, Bay, Bradford, Calhoun, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Franklin, Gadsden, Hamilton, Hernando, Jackson, Jefferson, Lafayette, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Polk, Santa Rosa, Seminole, Suwannee, Union, Volusia, Wakulla, Walton)"
